# Language file for DOL
# Language used : ITALIAN
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:				Inglese
GamePlayer.SwitchWeapon.SpellCancelled:		Il tuo incantesimo e' stato annullato!
GamePlayer.StartAttack.YouMustWait:			Devi aspettare altri {0} secondi per tentare un nuovo attacco!
GamePlayer.StartAttack.YouCantCombat:		Non puoi entrare in combattimento quando giaci a terra!
GamePlayer.StartAttack.CantAttackStunned:	Non puoi attaccare quando sei bloccato!
GamePlayer.StartAttack.CantAttackmesmerized:Non puoi attaccare quando sei incantato!
GamePlayer.StartAttack.YouMustWaitAgain:	Devi aspettare altri {0} secondi prima di poter attaccare nuovamente.
GamePlayer.StartAttack.CannotWithoutWeapon:	Non puoi entrare in combattimento senza un'arma!
GamePlayer.StartAttack.CannotMelee:			Non puoi entrare in corpo-a-corpo con uno strumento musicale!
GamePlayer.StartAttack.SelectQuiver:		Devi selezionare lo slot della faretra da usare!
GamePlayer.StartAttack.CantUseQuiver:		Non puoi utilizzare i colpi della faretra con quest'arma!
GamePlayer.StartAttack.TiredShot:			Sei troppo stanco per poter effettuare un colpo critico!
GamePlayer.StartAttack.TiredUse:			Sei troppo stanco per poter usare {0}!
GamePlayer.StartAttack.CombatNoTarget:		Entri in combattimento ma non hai alcun bersaglio selezionato!
GamePlayer.StartAttack.CombatTarget:		Entri in combattimento e selezioni [{0}]
GamePlayer.StartAttack.SpellCancelled:		Il tuo incantesimo e' stato annullato!
GamePlayer.StartAttack.TargetInRange:		, il bersaglio e' nel raggio
GamePlayer.StartAttack.TargetOutOfRange:	, il bersaglio e' fuori dal raggio
GamePlayer.StartAttack.YouPrepare:			Prepari {0} ({1}.{2}s per colpire{3})
GamePlayer.OnLinkdeath.Linkdead:			{0} ha perso la connessione!
GamePlayer.Bind.LastBindPoint:				Ultimo punto di rinascita : {0}.
GamePlayer.Bind.CantBindDead:				Non puoi impostare un punto di rinascita quando sei morto!
GamePlayer.Bind.MustWait:					Devi aspettare {0} secondi per poter impostare un nuovo punto di rinascita!
GamePlayer.Bind.Bound:						Hai impostato il tuo punto di rinascita in questo luogo.
GamePlayer.Bind.CantHere:					Non puoi impostare un punto di rinascita in questo luogo!
GamePlayer.Spell.NotEnoughPowerful:			Non sei abbastanza potente da poter utilizzare l'incantesimo di questo oggetto.
GamePlayer.Spell.NotImplemented:			{0} ({1}) non ancora implementato su questo server.
GamePlayer.Spell.Proc.NotImplemented:		L'effetto reattivo con ID {0} non e' ancora implementato su questo server.
GamePlayer.RealmTitle.UnknownRealm:			Reame non valido
GamePlayer.SwitchQuiver.ShootWith:			Colpirai con: {0}.
GamePlayer.SwitchQuiver.NoMoreAmmo:			Non hai piu' colpi nella tua faretra!
GamePlayer.SwitchQuiver.NotUseQuiver:		Non usi piu' la tua faretra.
GamePlayer.Pronoun.Male.Subjective:			lui
GamePlayer.Pronoun.Male.Possessive:			suo
GamePlayer.Pronoun.Male.Objective:			lo
GamePlayer.Pronoun.Female.Subjective:		lei
GamePlayer.Pronoun.Female.Possessive:		suo
GamePlayer.Pronoun.Female.Objective:		la
GamePlayer.IsOnHorse.DismountSteed:			Smonti dalla cavalcatura.
GamePlayer.IsOnHorse.MountSteed:			Monti sulla cavalcatura.
GamePlayer.Die.LoseExperience:				Perdi un po' di esperienza!
GamePlayer.DuelStop.DuelEnds:				Il tuo duello e' finito!
GamePlayer.CastSpell.CantCastStunned:		Non puoi lanciare incantesimi quando sei bloccato!
GamePlayer.CastSpell.CantCastMezzed:		Non puoi lanciare incantesimi quando sei incantato!
GamePlayer.CastSpell.AlreadyPlaySong:		Stai gia' suonando una canzone!
GamePlayer.CastSpell.AlreadyCastFollow:		Stai gia' lanciando un incantesimo! Prepari questo incantesimo come seguente!
GamePlayer.CastSpell.AlreadyCastNoQueue:	Stai gia' lanciando un incantesimo, per abilitare la successione di incantesimi digita '/noqueue'!
GamePlayer.ReceiveTradeItem.StillSelfcrafting:	Stai gia' costruendo.
GamePlayer.ReceiveTradeItem.CantTrade:		Non puoi vendere questo oggetto!
GamePlayer.UseSlot.CantFire:				Non puoi usare questo oggetto!
GamePlayer.UseSlot.CantMountWhileDead:		Non puoi montare sulla cavalcatura quando sei morto.
GamePlayer.UseSlot.MustDismountBefore:		Devi prima smontare dalla cavalcatura.
GamePlayer.UseSlot.CantSummonRvR:			Non puoi richiamare questa cavalcatura nelle zone RvR.
GamePlayer.UseSlot.CantMountMoving:			Non puoi montare sulla cavalcatura mentre ti muovi.
GamePlayer.UseSlot.CantCallMountSeated:		Non puoi richiamare la cavalcatura mentre stai seduto.
GamePlayer.UseSlot.CantMountSteath:			Non puoi montare sulla cavalcatura mentre sei invisibile.
GamePlayer.UseSlot.CantMountCombat:			Non puoi montare sulla cavalcatura mentre sei in combattimento.
GamePlayer.UseSlot.StopCallingMount:		Smetti di richiamare la tua cavalcatura.
GamePlayer.UseSlot.WhistleMount:			Fischi per richiamare la tua cavalcatura.
GamePlayer.UseSlot.CantSeeTarget:			Non riesci a vedere il bersaglio!
GamePlayer.UseSlot.AutoReleaseShot:			Rilasci automaticamente il colpo.
GamePlayer.UseSlot.AutoReleaseShotReload:	Rilasci automaticamente il colpo e ricarichi.
GamePlayer.UseSlot.NoAutoReleaseShotReload:	Non rilasci piu' automaticamente il colpo o ricarichi.
GamePlayer.UseSlot.CantUseInCombat:			Non puoi usare questo oggetto in combattimento!
GamePlayer.UseSlot.NotEnouthPower:			Non sei abbastanza potente da poter utilizzare l'incantesimo di questo oggetto.
GamePlayer.UseSlot.Can'tUseFromBackpack:	Non puoi usare questo oggetto direttamente dal tuo zaino. Devi prima indossarlo!
GamePlayer.ApplyPoison.CantUsePoisons:		Non puoi usare veleni.
GamePlayer.ApplyPoison.PoisonsAppliedWeapons:	I veleni possono essere usati solamente sulle armi.
GamePlayer.ApplyPoison.CantPoisonWeapon:	Non puoi avvelenare quest'arma!
GamePlayer.ApplyPoison.CantUsePoison:		Non puoi usare questo veleno.
GamePlayer.ApplyPoison.CantApplyRecentCombat:	Sei stato in combattimento di recente e non puoi ancora applicare veleni!
GamePlayer.Whisper.SelectTarget:			Seleziona il bersaglio a cui sussurrare!
GamePlayer.DrowningTimerCallback.CannotBreath:				Non puoi respirare sottacqua e subisci un danno!
GamePlayer.DrowningTimerCallback.Take5%Damage:				Subisci il 5% dei tuoi punti ferita massimi di danno.
GamePlayer.Sprint.TooFatigued:				Sei troppo affaticato per scattare!
GamePlayer.Sprint.CantSprintHidden:			Non puoi scattare mentre sei invisibile!
GamePlayer.Sprint.CantSprintDead:			Non puoi scattare quando sei morto!
GamePlayer.Sprint.PrepareSprint:			Ti prepari a scattare!
GamePlayer.Sprint.NoLongerReady:			Smetti di scattare.
GamePlayer.OnPlayerMove.InterruptCrafting:	Ti muovi e interrompi la costruzione.
GamePlayer.OnPlayerMove.CannotCallMount:	Ti muovi e non puoi chiamare la tua cavalcatura.
GamePlayer.Sit.InterruptCallMount:			Tenti di sederti e interrompi la chiamata della cavalcatura!
GamePlayer.Sit.AlreadySitting:				Sei gia' seduto!
GamePlayer.Sit.NotSitting:					Non sei seduto!
GamePlayer.Sit.CantSitDead:					Non puoi sederti quando sei morto!
GamePlayer.Sit.CantSitStunned:				Non puoi riposarti quando sei bloccato!
GamePlayer.Sit.CantSitMezzed:				Non puoi riposarti quando sei incantato!
GamePlayer.Sit.MustStandingStill:			Devi rimanere ancora in piedi prima di poterti sedere.
GamePlayer.Sit.MustDismount:				Devi prima smontare dalla cavalcatura.
GamePlayer.Sit.YouSitDown:					Ti siedi.  Digita '/stand' oppure muoviti per alzarti.
GamePlayer.Sit.YouStandUp:					Ti alzi.
GamePlayer.Sit.NoLongerWaitingQuit:			Non stai piu' aspettando di uscire.
GamePlayer.UpdateEncumberance.EncumberedMoveSlowly:		Sei sovrappeso e ti muovi piu' lentamente.
GamePlayer.UpdateEncumberance.Encumbered:	Sei sovrappeso!
GamePlayer.PickupObject.MustHaveTarget:		Devi avere un bersaglio per raccogliere qualcosa!
GamePlayer.PickupObject.LootDoesntBelongYou:			Questo oggetto non ti appartiene - non puoi raccoglierlo.
GamePlayer.PickupObject.CantGetThat:		Non puoi prenderlo!
GamePlayer.PickupObject.BackpackFull:		Il tuo zaino e' pieno. Devi prima lasciare qualcosa.
GamePlayer.PickupObject.NoOneGroupWantsMoney:			Nessuno nel gruppo vuole denaro.
GamePlayer.SaveIntoDatabase.CharacterSaved:	Il tuo personaggio e' stato salvato.
GamePlayer.Stealth.NowHidden:				Ora sei invisibile!
GamePlayer.Stealth.NoLongerHidden:			Non sei piu' invisibile!
GamePlayer.CraftItem.DontHaveAbilityMake:	Non hai l'abilita' di costruire questo oggetto.
GamePlayer.OpenSelfCraft.AlreadySelfCrafting:			Stai gia' costruendo.
GamePlayer.OpenSelfCraft.CanOnlyCraftBackpack:			Puoi costruire solamente oggetti nel tuo zaino!
GamePlayer.SetControlledNpc.ReleaseTarget:				Rilasci il controllo del tuo bersaglio.
GamePlayer.CommandNpcAttack.TooFarAwayForPet:			Il tuo bersaglio e' troppo lontano per poter essere attaccato dal tuo pet!
GamePlayer.CommandNpcGoTarget.MustSelectDestination:	Devi scegliere una destinazione per il tuo pet.
GamePlayer.Shade.AlreadyShade:				Sei gia' un'ombra!
GamePlayer.Shade.NoLongerShade:				Non sei piu' un'ombra!
GamePlayer.CurrentTitle.TitleCleared:		Il tuo titolo e' stato reimpostato.
					
# HOUSING
HouseEnterLeave.TooFarAway:					Sei troppo lontano per poter entrare nella casa {0}.
HouseEnterLeave.CantEnter:					Non puoi entrare nella casa {0}.
HousingDecorationRotate.Rotated:			La decorazione interna e' stata ruotata da {0} a {1} gradi.
HousingPickupItemHandler.GardenRemoved:		Oggetto giardino rimosso.
HousingPickupItemHandler.PickUp:			Prendi {0} e lo metti nello zaino.
HousingPlaceItemHandler.30objects:			Hai gia' posizionato 30 oggetti. Non puoi metterne altri.
HousingPlaceItemHandler.40objects:			Hai gia' posizionato 40 oggetti. Non puoi metterne altri.
HousingPlaceItemHandler.CantFloor:			Questo oggetto non puo' essere messo sul pavimento !
HousingPlaceItemHandler.CantWall:			Questo oggetto non puo' essere messo su un muro !
HousingPlaceItemHandler.DropOnFloor:		Lasci cadere {0} sul pavimento della tua casa !
HousingPlaceItemHandler.DropOnGarden:		Lasci cadere {0} sul tuo giardino !
HousingPlaceItemHandler.DropOnWall:			Appendi {0} sul muro della tua casa !
HousingPlaceItemHandler.GardenObjectPlaced:	Oggetto giardino posizionato. {0} slot rimanenti.
HousingPlaceItemHandler.HasPorch:			Questa casa ha gia' un balcone !
HousingPlaceItemHandler.HasNoPorch:			Questa casa non ha balcone !
HousingPlaceItemHandler.IndoorObjectPlaced:	Oggetto interno posizionato. {0} slot rimanenti.
HousingPlaceItemHandler.NoHookpoint:		Ora non ci sono hookpoints !
HousingPlaceItemHandler.PutMoney:			Depositi il denaro nella tua casa.

# GameServer\world
# AbstractArea
AbstractArea.Entered:						(Regione) Sei entrato in {0}!
AbstractArea.Left:							(Regione) Hai lasciato {0}!

# GameServer\packets\Client\168
# /PlayerInitRequestHandler
PlayerInitRequestHandler.AllianceMessage:		Messaggio di Alleanza: {0}
PlayerInitRequestHandler.FreeLevel:				Sei idoneo per un livello gratuito! Clicca sul tuo allenatore per riceverlo (oppure digita /freelevel decline per rifiutarlo).
PlayerInitRequestHandler.GuildMessage:			Messaggio di Gilda: 
PlayerInitRequestHandler.LevelCap:				Hai superato il limite massimo del livello di questo battleground!
PlayerInitRequestHandler.OfficerMessage:		Messaggio degli Ufficiali: {0}
PlayerInitRequestHandler.SaferLocation:			Quest'area non e' attualmente sicura e stai per essere trasportato in un luogo piu' sicuro.

# /PlayerPositionUpdateHandler
PlayerPositionUpdateHandler.Endurance:			Perdi endurance!
PlayerPositionUpdateHandler.Entered:			Sei entrato in {0}.
PlayerPositionUpdateHandler.FallingDamage:		Ricevi danni per la caduta!
PlayerPositionUpdateHandler.FallPercent:		Perdi il {0}% dei tuoi punti ferita massimi per il danno.
PlayerPositionUpdateHandler.SafeFall:			Il danno e' stato diminuito dalla tua abilita' Safe Fall!
PlayerPositionUpdateHandler.UnknownZone:		Zona sconosciuta, stai per essere trasportato al tuo punto di rinascita.


# SCRIPTS
# GameEvents
# /Playerenterexit
Scripts.Events.PlayerEnterExit.Entered:			{0} e' appena entrato in gioco!
Scripts.Events.PlayerEnterExit.Left:			{0} e' appena uscito dal gioco!
Scripts.Events.PlayerEnterExit.Staff:			[Staff Member] {0}

# PlayerCommands
# /Afk
Scripts.Players.Afk.Off:						Non sei piu' segnalato come AFK.
Scripts.Players.Afk.On:							Ora sei segnalato come AFK.

# /Anonymous
Scripts.Players.Anonymous.Error:				La modalita' Anonimo e' disabilitata.
Scripts.Players.Anonymous.Off:					Non sei piu' segnalato come Anonimo.
Scripts.Players.Anonymous.On:					Ora sei segnalato come Anonimo.

# /Assist
Scripts.Players.Assist.CantAssistYourself:		Non puoi assistere te stesso.
Scripts.Players.Assist.DoesntHaveTarget:		non ha attualmente un bersaglio.
Scripts.Players.Assist.DontSee:					Non vedi {0} qui intorno!
Scripts.Players.Assist.NoTarget:				Non hai un bersaglio.
Scripts.Players.Assist.NotValid:				Il bersaglio non e' valido.
Scripts.Players.Assist.YouAssist:				Assisti {0}.

# /Autoloot
Scripts.Players.Autoloot.Off:					Il tuo autoloot e' disattivato. Non tenterai piu' di raccogliere automaticamente qualsiasi oggetto lasciato cadere nell'area.
Scripts.Players.Autoloot.On:					Your autoloot is on. Ora tenterai di raccogliere automaticamente qualsiasi oggetto lasciato cadere nell'area.

# /Autosplit
Scripts.Players.Autosplit.Coins:				Il leader ha cambiato 
Scripts.Players.Autosplit.InGroup:				Devi essere in un gruppo per usare questo comando.
Scripts.Players.Autosplit.Leader:				Devi essere il leader del gruppo per usare questo comando.
Scripts.Players.Autosplit.Loot:					Il leader ha cambiato 
Scripts.Players.Autosplit.Off:					Il leader ha disattivato l'autosplit.
Scripts.Players.Autosplit.On:					Il leader ha attivato l'autosplit.
Scripts.Players.Autosplit.Self:					{0} cambiato 

# /Boot
Scripts.Players.Boot.InHouseError:				Devi essere nella tua casa per usare questo comando!
Scripts.Players.Boot.NoHouseError:				Non possiedi una casa!
Scripts.Players.Boot.NoOneOnline:				Nessuno con quel nome e' online per essere espulso!
Scripts.Players.Boot.YouRemoved:				Sei stato espulso dalla casa da {0}!

# /Bountyrent
Scripts.Players.Bountyrent.InHouseError:		Devi essere nella tua casa per usare questo comando!
Scripts.Players.Bountyrent.NoHouseError:		Non possiedi una casa!

# /Broadcast
Scripts.Players.Broadcast.Message:				[Broadcast] {0} : {1}
Scripts.Players.Broadcast.NoHere:				Non puoi inviare messaggi broadcast qui.
Scripts.Players.Broadcast.NoText:				Devi scrivere il testo da inviare in broadcast...

# /Cancelstyle
Scripts.Players.Cancelstyle.Set:				Annulla Stile e' ora impostato su {0}.

# /Chatgroup
Scripts.Players.Chatgroup.Help.Help:			/cg help - Mostra tutti i comandi del chat group
Scripts.Players.Chatgroup.Help.Invite:			/cg invite [playername] - Invita il giocatore specificato al chat group
Scripts.Players.Chatgroup.Help.JoinPrivate:		/cg join [moderator name] [password] - Partecipa ad un chat group privato che ha una password impostata
Scripts.Players.Chatgroup.Help.JoinPublic:		/cg join [moderator name] - Partecipa ad un chat group pubblico dal nome del moderatore
Scripts.Players.Chatgroup.Help.Leader:			/cg leader <name> - Dichiara un altro membro del chat group come leader; Questo giocatore puo' invitare altri giocatori nel chat group e parlare quando il chat group e' impostata in modalita' ascolto.
Scripts.Players.Chatgroup.Help.Leave:			/cg leave - Abbandona il chat group
Scripts.Players.Chatgroup.Help.Listen:			/cg listen - Imposta il chat group in modalita' ascolto; solamente only il moderatore e i leader possono parlare
Scripts.Players.Chatgroup.Help.PasswordClear:	/cg password clear - Rimuove la password corrente (solamente il moderator)
Scripts.Players.Chatgroup.Help.PasswordDisplay:	/cg password - Visualizza la password corrente per partecipare al chat group (solamente il moderator)
Scripts.Players.Chatgroup.Help.PasswordNew:		/cg password [new password]	- Cambia la password corrente per partecipare al chat group (solamente il moderator)
