# Language file for DOL
# Language used : FRENCH / FRANCAIS
# Create by DOL
# Edit by the french player
# Finish by heretoc
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:					Anglais
AbstractCraftingSkill.CheckRawMaterial.YouAreMissing:   Il vous manque :

AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoClothworkingSkill:      Vous n'avez pas le niveau minimum dans la compétence en Armurie ({0}) Pour confectionner le {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoLeathercraftingSkill:   Vous n'avez pas le niveau minimum dans la compétence  en Couture ({0}) Pour confectionner le {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoMetalworkingSkill:      Vous n'avez pas le niveau minimum dans la compétence  en Ingénierie ({0}) Pour confectionner le {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoWoodworkingSkill:      Vous n'avez pas le niveau minimum dans la compétence  en Forge ({0}) Pour confectionner le {1}!

AbstractCraftingSkill.CraftItem.BeginWork:      Vous commencez a travailler sur le {0} ({1}%).
AbstractCraftingSkill.CraftItem.ChanceToGainPoint:   Chance de gagner des points sur votre compétence primaire {0}%.
AbstractCraftingSkill.CraftItem.CurrentlyMaking:   En train de faire: {0}
AbstractCraftingSkill.CraftItem.MoveAndInterrupt:   vous bougez et interromper votre travail.
AbstractCraftingSkill.CraftItem.StopWork:      Vous arretez votre travail.
AbstractCraftingSkill.LooseRawMaterial.Count:      Vous perdez ({0}) {1}.
AbstractCraftingSkill.LooseRawMaterial.Materials:   Vous n'arriver pas à faire le {0}, et perdez du matériel!
AbstractCraftingSkill.MakeItem.LoseNoMaterials:      Vous n'arriver pas à faire le {0} mais ne perdez pas de matériel!
AbstractCraftingSkill.MakeItem.NotAllMaterials:      Vous n'avez pas tout les composants nécessaire à la confection de cette objet.

# GAMELIVING
GameLiving.ReceiveItem:							{0} ne veut pas de cet item !
GameLiving.ReceiveMoney:						{0} ne veut pas de votre argent !

# GAMEMERCHANT
GameMerchant.GetExamineMessages.BuyItemsFor:	{0} dit, "Vous pouvez acheter des objets ici pour {1}."
GameMerchant.GetExamineMessages.Nothing:		rien
GameMerchant.GetExamineMessages.RightClick:		[Cliquez-droit pour afficher une fenêtre de marchandage]
GameMerchant.GetExamineMessages.YouExamine:		Vous observez {0}. C'est un marchand {2}.
GameMerchant.OnPlayerAppraise.Offers:			{0} vous offre {1} pour {2}.
GameMerchant.OnPlayerBuy.Bought:				Vous venez d'acheter {0} pour {1}.
GameMerchant.OnPlayerBuy.Bought2:				Vous venez d'acheter {0} pour {1} {2}.
GameMerchant.OnPlayerBuy.BoughtBP:				Vous venez d'acheter {0} pour {1} points de mérite.
GameMerchant.OnPlayerBuy.BoughtPieces:			Vous venez d'acheter {0} piéces de {1} pour {2}.
GameMerchant.OnPlayerBuy.BoughtPieces2:			Vous venez d'acheter {0} piéces de {1} pour {2} {3].
GameMerchant.OnPlayerBuy.BoughtPiecesBP:		Vous venez d'acheter {0} piéces de {1} pour {0} primes de royaume.
GameMerchant.OnPlayerBuy.NotInventorySpace:		Pas assez de place dans votre inventaire pour acheter cela.
GameMerchant.OnPlayerBuy.YouNeed:				Vous avez besoin de {0} pour acheter cela.
GameMerchant.OnPlayerBuy.YouNeed2:				Vous avez besoin de {0} {1} pour acheter cela.
GameMerchant.OnPlayerBuy.YouNeedBP:				Vous avez besoin de {0} primes de royaume pour acheter cela.
GameMerchant.OnPlayerSell.CantBeSold:			Votre objet ne peut être vendu.
GameMerchant.OnPlayerSell.GivesYou:				{0} vous donne {1} pour {2}.
GameMerchant.OnPlayerSell.IsntInterested:		{0} n'est pas interessé par {1}.
GameMerchant.OnPlayerSell.TooFarAway:			{0} est trop loin !

# GAMENPC
GameNPC.GetAggroLevelString.Aggressive1:		aggressif
GameNPC.GetAggroLevelString.Aggressive2:		Aggressif
GameNPC.GetAggroLevelString.Friendly1:			amicale
GameNPC.GetAggroLevelString.Friendly2:			Amicale
GameNPC.GetAggroLevelString.Hostile1:			hostile
GameNPC.GetAggroLevelString.Hostile2:			Hostile
GameNPC.GetAggroLevelString.Neutral1:			neutre
GameNPC.GetAggroLevelString.Neutral2:			Neutre
GameNPC.GetAggroLevelString.TowardsYou:			{0} envers vous
GameNPC.GetExamineMessages.YouExamine:			Vous examinez {0}. Il se trouve être {2}.


# GAMEOBJECT
GameObject.GetExamineMessages.YouTarget:		Vous ciblez [{0}].
GameObject.GetName.Article1:				Le {0}
GameObject.GetName.Article2:				le {0}
GameObject.GetName.Article3:				Un {0}
GameObject.GetName.Article4:				un {0}
GameObject.GetName.Article5:				A {0}
GameObject.GetName.Article6:				a {0}
GameObject.GetPronoun.Pronoun1:				Cela
GameObject.GetPronoun.Pronoun2:				cela
GameObject.GetPronoun.Pronoun3:				Son
GameObject.GetPronoun.Pronoun4:				son
GameObject.GetPronoun.Pronoun5:				Cela
GameObject.GetPronoun.Pronoun6:				cela
GameObject.Interact.TooFarAway:					Vous êtes trop loin pour interragir avec {0}.

# GAMEPLAYER
GamePlayer.AddAbility.YouLearn:					Vous apprenez l'abilité {0} !
GamePlayer.AddSpecialisation.YouLearn:			Vous apprenez la compétence {0} !
GamePlayer.AddSpellLine.YouLearn:				Vous apprenez la liste de sort {0} !		
GamePlayer.ApplyPoison.CantApplyRecentCombat:	Vous avez été en combat recemment et ne pouvez pas appliquer de poison pour le moment.
GamePlayer.ApplyPoison.CantPoisonWeapon:		Vous ne pouvez pas utiliser du poison sur cette arme.
GamePlayer.ApplyPoison.CantUsePoison:			Vous ne pouvez pas utiliser ce poison.
GamePlayer.ApplyPoison.CantUsePoisons:			Vous ne pouvez pas utiliser ces poisons.
GamePlayer.ApplyPoison.PoisonsAppliedWeapons:	Les poisons ne peuvent être appliqués que sur des armes.
GamePlayer.Attack.AlreadyDead:				{0} est déjà mort !
GamePlayer.Attack.Blocked:					{0} bloque votre attaque !
GamePlayer.Attack.CantBeAttacked:			Ceci ne peut pas être attaqué !
GamePlayer.Attack.CantCritical:				Vous ne pouvez pas faire de coup critique sur votre cible, vous optez pour un coup standard.
GamePlayer.Attack.CantSeeTarget:			Vous ne voyez pas votre cible !
GamePlayer.Attack.CantUseQuiver:			Vous ne pouvez pas utiliser les munitions selectionnées avec cette arme !
GamePlayer.Attack.CouldRepair:				Votre {0} peut être réparé.
GamePlayer.Attack.Critical:					Vous donnez un coup critique à {0} pour {1} dommages additionels !
GamePlayer.Attack.Evade:					{0} vous attaque, mais vous evitez le coup !
GamePlayer.Attack.Evaded:					{0} évite votre attaque !
GamePlayer.Attack.Fumble:					Vous manquez lamentablement votre attaque et prenez le temps de recuperer !
GamePlayer.Attack.Fumbled:					{0} manque lamentablement !
GamePlayer.Attack.HitsYour:					{0} frappe votre {1} pour {2}{3} dommages !
GamePlayer.Attack.HitsYou:					{0} vous frappe pour {1}{2} dommages !
GamePlayer.Attack.HitsYouCritical:			{0} vous frappe de manière critique pour {1} dommages additionels !
GamePlayer.Attack.InterceptHit:				{0} {1}{2} et touchez pour {3}{4} dommages !
GamePlayer.Attack.Intercepted:				{0} se place devant {1} et prend le coup !
GamePlayer.Attack.InterceptedHit:			{0} {1}{2} mais touchez {3} pour {4}{5} dommages !
GamePlayer.Attack.Interrupted:				{0} vous attaque et votre {1} est interrompu !
GamePlayer.Attack.Location.Arm:				bras
GamePlayer.Attack.Location.Foot:			pied
GamePlayer.Attack.Location.Hand:			main
GamePlayer.Attack.Location.Head:			tête
GamePlayer.Attack.Location.Leg:				jambe
GamePlayer.Attack.Location.Torso:			torse
GamePlayer.Attack.Miss:						Vous manquez !
GamePlayer.Attack.Missed:					{0} vous attaque mais manque son coup !
GamePlayer.Attack.MustSelectQuiver:			Vous devez selectionner un emplacement de votre carquois !
GamePlayer.Attack.NeedRepair:				Votre {0} a besoin d'être réparé.
GamePlayer.Attack.NeedRepairDire:			Votre {0} a grand besoin d'être réparé.
GamePlayer.Attack.NeedTarget:				Vous devez selectionner une cible pour attaquer !
GamePlayer.Attack.NotInView:				{0} n'est pas en vue !
GamePlayer.Attack.Parried:					{0} parre votre attaque !
GamePlayer.Attack.Parry:					{0} vous attaque, mais vous parrez le coup !
GamePlayer.Attack.ReadyToFire:				Vous êtes prêt à tirer !
GamePlayer.Attack.StrafMiss:				Vous strafiez en combat et manquez votre coup !
GamePlayer.Attack.TooFarAway:				{0} est trop loin pour être attaqué !
GamePlayer.Attack.TooTired:					Vous êtes trop fatigué pour maintenir votre tir plus longtemps !
GamePlayer.Attack.Type.Shot:				tir
GamePlayer.Attack.Type.Throw:				jet
GamePlayer.Attack.WithYour:					avec votre
GamePlayer.Attack.YouAttack:				Vous attaquez
GamePlayer.Attack.YouShot:					Vous tirez
GamePlayer.Bind.Bound:						Votre esprit et maintenant lié à cette Pierre des Ames.
GamePlayer.Bind.CantBindDead:				La mort vous empêche de lier votre esprit à la Pierre des Ames!	
GamePlayer.Bind.CantHere:					Il n'y a pas de Pierre des Ames à proximité pour pouvoir lier votre esprit !
GamePlayer.Bind.LastBindPoint:				Localisation de la dernière Pierre des Ames : {0}.
GamePlayer.Bind.MustWait:					Vous devez attendre {0} secondes de plus avant de vous lier à nouveau !
GamePlayer.CastSpell.AlreadyCastFollow:		Vous êtes déjà entrain de lancer un sort ! Ce sort est mis sur liste d'attente.
GamePlayer.CastSpell.AlreadyCastNoQueue:	Vous êtes déjà entrain de lancer un sort, pour activer le system de mise en attente des sorts, utilisez '/noqueue'.
GamePlayer.CastSpell.AlreadyPlaySong:		Vous jouez déja un morceau !
GamePlayer.CastSpell.CantCastMezzed:		Vous ne pouvez pas incanter lorsque vous êtes hypnotisez !
GamePlayer.CastSpell.CantCastStunned:		Vous ne pouvez pas incanter lorsque vous êtes étourdit !
GamePlayer.CommandNpcAttack.TooFarAwayForPet:			Votre cible est trop loin pour être attaquée par votre familier.
GamePlayer.CommandNpcGoTarget.MustSelectDestination:	Vous devez selectionner une destination pour votre créature.
GamePlayer.CraftItem.DontHaveAbilityMake:	Vous n'avez pas compétence nécessaire pour la confection de cet objet.
GamePlayer.CurrentTitle.TitleCleared:		Votre titre a été annuler.
GamePlayer.Die.CorpseLies:					{0} est mort. {1} corps gît sur le sol.
GamePlayer.Die.DeadRVR:						Vous êtes mort au combat pour votre royaume et ne perdez aucune expérience !
GamePlayer.Die.DeathN1:						Ceci est votre première mort pour ce niveau. Vos pertes d'expérience et de constitutions sont grandement réduites.
GamePlayer.Die.DeathN2:						Ceci est votre seconde mort pour ce niveau.  Vos pertes d'expérience et de constitutions sont réduites.
GamePlayer.Die.DuelDefeated:				{0} a été vaincu en duel par {1} !
GamePlayer.Die.Killed:						{0} vient de se faire tuer !
GamePlayer.Die.KilledBy:					{0} vient de se faire tuer par {1} !
GamePlayer.Die.KilledByLocation:			{0} vient de se faire tuer par {1} à {2} !	
GamePlayer.Die.KilledLocation:				{0} vient de se faire tuer à {1} !
GamePlayer.Die.LoseExperience:				Vous perdez de l'experience !
GamePlayer.Die.ReleaseToReturn:				Vous êtes mort.  Tapez /release pour retourner à votre pierre des âmes.
GamePlayer.Die.YouKilled:					Vous venez de tuer {0} !
GamePlayer.DrowningTimerCallback.CannotBreath:		Vous ne pouvez pas respirer sous l'eau et buvez la tasse !
GamePlayer.DrowningTimerCallback.Take5%Damage:		Vous perdez 5% de votre total de points de vie.
GamePlayer.DuelStop.DuelEnds:				Votre duel se termine !
GamePlayer.GainBountyPoints.YouGet:			Vous obtenez {0} primes de royaume !
GamePlayer.GainExperience.CannotRaise:		Vous ne pouvez pas atteindre le niveau 6 tant que vous n'avez pas choisi une spécialisation.
GamePlayer.GainExperience.TalkToTrainer:	Parlez à votre entraineur pour plus d'informations.
GamePlayer.GainExperience.YouGet:			Vous obtenez {0} points d'expérience.
GamePlayer.GainRealmPoints.Earned:			{0} a gagné 1,000,000 de points de royaume dans {1}
GamePlayer.GainRealmPoints.GainBonus:		Vous gagnez un bonus de +{0} dans toutes vos spécialisations!
GamePlayer.GainRealmPoints.GainedLevel:		Vous avez gagné un niveau de royaume !
GamePlayer.GainRealmPoints.GainedRank:		Vous avez gagné un nouveau rang et un nouveau titre de royaume !
GamePlayer.GainRealmPoints.NewRealmTitle:	Votre nouveau titre de royaume est {0}
GamePlayer.GainRealmPoints.ReachedRank:		{0} a atteint le rang de royaume {1:#L#} dans {2}!
GamePlayer.GainRealmPoints.YouGet:			Vous gagnez {0} points de royaume !
GamePlayer.GetExamineMessages.EnemyRealmMember:	Vous observez {0}. {1} est membre d'un royaume ennemi !
GamePlayer.GetExamineMessages.NeutralMember:	Vous observez {0}. {1} ne fait parti d'aucune guilde.
GamePlayer.GetExamineMessages.OtherGuildMember:	Vous observez {0}. {1} est membre de la guilde: {2}.
GamePlayer.GetExamineMessages.RealmMember:		Vous observez {0}. {1} est un membre de la classe {2} de votre royaume.
GamePlayer.GetExamineMessages.YouExamine:		Vous observez {0}.
GamePlayer.GetExamineMessages.YourGuildMember:	Vous observez {0}. {1} est un membre de la classe {2} de votre guilde.
GamePlayer.IsCloakHoodUp.NowWear:			Vous portez maintenant votre capuche relevée.
GamePlayer.IsCloakHoodUp.NoLongerWear:		Vous portez maintenant votre capuche abaissée.
GamePlayer.IsOnHorse.DismountSteed:			Vous descendez de votre monture.
GamePlayer.IsOnHorse.MountSteed:			Vous montez sur votre monture.
GamePlayer.OnItemEquipped.Magic:			La magie de {0} coule dans vos veines.
GamePlayer.OnItemEquipped.WieldBothHands:	Vous tenez votre {0} à deux mains.
GamePlayer.OnItemEquipped.WieldLeftHand:	Vous tenez votre  {0} dans votre main gauche.
GamePlayer.OnItemEquipped.WieldRightHand:	Vous tenez votre  {0} dans votre main droite.
GamePlayer.OnItemUnequipped.BothHandsFree:	Vous rengainez {0}. Vous mains sont desormais libres.
GamePlayer.OnItemUnequipped.LeftHandFree:	Vous rengainez {0} de votre main gauche.
GamePlayer.OnItemUnequipped.RightHandFree:	Vous rengainez {0} de votre main droite.
GamePlayer.OnLevelUp.AttainedRank:			Vous avez atteint le rang de {0} !
GamePlayer.OnLevelUp.FreeLevelEligible:		Vous êtes eligible pour un niveau gratuit! Cliquez sur votre entraineur pour le recevoir (ou tapez '/freelevel decline' pour refuser votre niveau gratuit.)
GamePlayer.OnLevelUp.HitsRaise:				Vos points de vie ont augmentés de {0}.
GamePlayer.OnLevelUp.PowerRaise:			Vos points de mana ont augmentés de {0}.
GamePlayer.OnLevelUp.Reached:				{0} a atteint le niveau {1} dans {2}!
GamePlayer.OnLevelUp.SecondStage:			Vous avez atteint la deuxième étape de votre niveau {0} !
GamePlayer.OnLevelUp.StatRaise:				Vos statistiques augmentent !
GamePlayer.OnLevelUp.YouAchived:			Vous avez achevé le niveau {0}!
GamePlayer.OnLevelUp.YouGetSpec:			Vous obtenez {0} points de spécialisation à dépenser pour ce niveau!
GamePlayer.OnLevelUp.YouRaise:				Vous avez atteint le niveau {0}!
GamePlayer.OnLinkdeath.Linkdead:			{0} a été deconnecté par le serveur !
GamePlayer.OnPlayerMove.CannotCallMount:	Vous bougez et ne pouvez pas appeler votre monture !
GamePlayer.OnPlayerMove.InterruptCrafting:	Vous bougez, et interrompez votre fabrication.
GamePlayer.OnSkillTrained.TrainsInVarious:	{0} s'entraine dans différentes spécialisations.
GamePlayer.OnSkillTrained.YouHave:			Il vous reste {0} points de spécialisation pour ce niveau.
GamePlayer.OnSkillTrained.YouSpend:			Vous dépensez {0} points et vous vous spécialisez mieux dans {1}.
GamePlayer.OpenSelfCraft.AlreadySelfCrafting:	Vous êtes déjà en train d'enchanter.
GamePlayer.OpenSelfCraft.CanOnlyCraftBackpack:	Vous ne pouvez combiner que des objets dans votre sac!
GamePlayer.PickupObject.Autosplit:				(Autosplit) {0} va à {1}.
GamePlayer.PickupObject.BackpackFull:			Votre sac à dos est plein, vous devez faire de la place.
GamePlayer.PickupObject.CantGetThat:			Vous ne pouvez pas ramasser ça !
GamePlayer.PickupObject.GroupMemberPicksUp:		{0} ramasse {1}.
GamePlayer.PickupObject.LootDoesntBelongYou:	Ce butin ne vous appartient pas - vous ne pouvez pas le prendre.
GamePlayer.PickupObject.MustHaveTarget:			Vous devez avoir une cible pour ramasser quelquechose !
GamePlayer.PickupObject.NoOneGroupWantsMoney:	Personne dans le groupe ne veut de l'argent.
GamePlayer.PickupObject.NoOneWantsThis:			Personne dans le groupe ne veut {0}.
GamePlayer.PickupObject.ObjectTooFarAway:		{0} est trop loin pour être ramassé !
GamePlayer.PickupObject.TooFarFromBoat:			Vous êtes trop loin du bateau pour embarquer !
GamePlayer.PickupObject.YouGet:					Vous ramassez {0} et le mettez dans votre sac.
GamePlayer.PickupObject.YouPickUp:				Vous ramassez {0}.
GamePlayer.PickupObject.YourLootShare:			votre part du butin est {0}.
GamePlayer.PickupObject.ItemBelowBGThreshold: Cet objet est inférieur au niveau de votre groupe de combat.
GamePlayer.Pray.AlreadyPraying:				Vous priez déjà !
GamePlayer.Pray.Begin:						Vous commencez vos prières.
GamePlayer.Pray.CantPrayNow:				Vous ne pouvez pas prier maintenant !
GamePlayer.Pray.GainBack:					Vos prières ont été entendues, vous regagnez de l'expérience !
GamePlayer.Pray.MustGetCloser:				Vous devez vous approcher de votre tombe pour prier !
GamePlayer.Pray.MustStandingStill:			Vous devez être immobile pour prier.
GamePlayer.Pray.NeedTarget:					Vous devez sélectionner une tombe pour prier !
GamePlayer.Pray.SelectGrave:				Sélectionnez votre tombe pour prier !
GamePlayer.Pronoun.Female.Objective:		elle
GamePlayer.Pronoun.Female.Possessive:		sa
GamePlayer.Pronoun.Female.Subjective:		elle
GamePlayer.Pronoun.Male.Objective:			lui
GamePlayer.Pronoun.Male.Possessive:			son
GamePlayer.Pronoun.Male.Subjective:			il
GamePlayer.Quit.CantQuitCrafting:			Vous ne pouvez pas quitter pendant une fabrication.
GamePlayer.Quit.CantQuitDead:				Vous ne pouvez pas quitter suite à votre mort soudaine !  Tapez '/release' pour ressusciter.
GamePlayer.Quit.CantQuitMount:				Vous ne pouvez pas quitter tout en étant à cheval.
GamePlayer.Quit.CantQuitStanding:			Vous devez être immobile pour quitter.
GamePlayer.Quit.RecentlyInCombat:			Vous étiez récemment en combat, vous devez attendre plus longtemps pour quitter.
GamePlayer.Quit.YouWillQuit1:				Vous allez quitter le jeux au bout de {0} secondes.	
GamePlayer.Quit.YouWillQuit2:				Vous allez quitter le jeux au bout de {0} secondes.  Tapez '/stand' ou deplacer-vous pour annuler la procédure.
GamePlayer.RealmTitle.UnknownRealm:			Royaume inconnu
GamePlayer.ReceiveTradeItem.CantTrade:			Vous ne pouvez pas échanger cet objet !
GamePlayer.ReceiveTradeItem.StillSelfcrafting:	Vous êtes encore en train d'enchanter.
GamePlayer.RefreshSpec.YouLearn:			Vous apprenez le style de combat {0} !
GamePlayer.RefreshSpec.AfterStyle:			Ce style peut uniquement être utilisé après avoir exécuté le style {0}.
GamePlayer.RefreshSpec.AfterMissed:			Ce style est mieux utilisé après que votre dernière attaque soit manquée.
GamePlayer.RefreshSpec.AfterParried:		Ce style est mieux utilisé après que votre dernière attaque soit parée.
GamePlayer.RefreshSpec.AfterBlocked:		Ce style est mieux utilisé après que votre dernière attaque soit bloquée.
GamePlayer.RefreshSpec.AfterEvaded:			Ce style est mieux utilisé après que votre dernière attaque soit évitée.
GamePlayer.RefreshSpec.AfterFumbles:		Ce style est mieux utilisé après que votre dernière attaque soit complètement ratée.
GamePlayer.RefreshSpec.TargetMisses:		Ce style est mieux utilisé après que la dernière attaque de votre cible soit manquée.
GamePlayer.RefreshSpec.TargetHits:			Ce style est mieux utilisé après que la dernière attaque de votre cible soit réussie.
GamePlayer.RefreshSpec.TargetParried:		Ce style est mieux utilisé après que la dernière attaque de votre cible soit parée.
GamePlayer.RefreshSpec.TargetBlocked:		Ce style est mieux utilisé après que la dernière attaque de votre cible soit bloquée.
GamePlayer.RefreshSpec.TargetEvaded:		Ce style est mieux utilisé après que la dernière attaque de votre cible soit évitée.
GamePlayer.RefreshSpec.TargetFumbles:		Ce style est mieux utilisé après que la dernière attaque de votre cible soit complètement ratée.
GamePlayer.RefreshSpec.TargetStyle:			Ce style est mieux utilisé après que la dernière attaque de votre cible soit un style.
GamePlayer.Release.CantReleaseDuel:			Vous ne pouvez altérer votre résurrection pour une mort en duel!
GamePlayer.Release.GraveErected:			Une tombe est apparue sur le lieu de votre mort.
GamePlayer.Release.LostConstitution:		Vous avez perdu des points de constitutions. Allez voir un guérisseur pour la restaurer.
GamePlayer.Release.NoLongerReleaseAuto:		Vous ne ressusciterez plus automatiquement ({0} secondes restantes)
GamePlayer.Release.NotDead:					Vous n'êtes pas mort !
GamePlayer.Release.NoValidBindpoint:		Vous n'êtes lié à aucune pierre des âmes valide, vous ressucitez donc ici !
GamePlayer.Release.ReturnToPray:			Retournez prier sur votre tombe (/pray) pour regagner de l'expérience.
GamePlayer.Release.SurroundingChange:		Votre environnement change subitement.
GamePlayer.Release.WillReleaseAuto:			Vous ressusciterez automatiquement dans {0} secondes!
GamePlayer.Release.WillReleaseAutoCity:		Vous ressusciterez automatiquement à la ville dans {0} secondes!
GamePlayer.Release.WillReleaseIn:			Vous ressusciterez dans {0} secondes.
GamePlayer.Release.YouRelease:				Vous ramenez votre corps à la vie !
GamePlayer.RemoveAbility.YouLose:			Vous perdez la capacité {0} !
GamePlayer.RemoveSpecialization.YouLose:	Vous perdez la compétence {0} !
GamePlayer.RemoveSpellLine.YouLose:			Vous perdez la ligne de sorts {0} !
GamePlayer.SaveIntoDatabase.CharacterSaved:	Votre personnage a été sauvegardé.
GamePlayer.Say.YouSay:						Vous dites, "{0}"
GamePlayer.SayReceive.Says:					{0} dit, "{1}"
GamePlayer.SayReceive.FalseLanguage:		{0} dit quelquechose dans une langue que vous ne comprenez pas.
GamePlayer.SendReceive.Sends:				{0} envoie, "{1}"
GamePlayer.SetControlledNpc.ReleaseTarget:	Vous relachez le controle de votre cible.
GamePlayer.Shade.AlreadyShade:				Vous êtes déjà dissimulé!
GamePlayer.Shade.NoLongerShade:				Vous ne vous dissimulez plus d'avantage!
GamePlayer.Sit.AlreadySitting:				Vous êtes déjà assis !
GamePlayer.Sit.CantSitDead:					Vous ne pouvez pas vous assoir alors que vous êtes mort !
GamePlayer.Sit.CantSitMezzed:				Vous ne pouvez pas vous assoir alors que vous êtes endormi!
GamePlayer.Sit.CantSitStunned:				Vous ne pouvez pas vous assoir alors que vous êtes assomé!
GamePlayer.Sit.InterruptCallMount:			Vous vous asseyez et arrêtez d'appeler votre monture !
GamePlayer.Sit.MustDismount:				Vous devez d'abord descendre de votre monture !
GamePlayer.Sit.MustStandingStill:			Vous devez être immobile pour vous assoir !
GamePlayer.Sit.NoLongerWaitingQuit:			Vous n'attendez plus de quitter.
GamePlayer.Sit.NotSitting:					Vous n'êtes pas assis !
GamePlayer.Sit.YouSitDown:					Vous vous asseyez. Tapez '/stand' ou bougez pour vous lever.
GamePlayer.Sit.YouStandUp:					vous vous levez.
GamePlayer.Spell.NotEnoughPowerful:			Vous n'êtes pas assez puissant pour utiliser le sortilège de cet objet.
GamePlayer.Spell.NotImplemented:			{0} ({1}) n'est pas encore implementé sur ce serveur.
GamePlayer.Spell.Proc.NotImplemented:		L'effet réactif d'ID {0} n'est pas encore implementé sur ce serveur.
GamePlayer.Sprint.CantSprintDead:			Vous ne pouvez pas sprinter, vous êtes mort !
GamePlayer.Sprint.CantSprintHidden:			Vous ne pouvez pas sprinter tout en étant dissimulé !
GamePlayer.Sprint.NoLongerReady:			Vous n'êtes plus prêt à sprinter.
GamePlayer.Sprint.PrepareSprint:			Vous vous préparez à sprinter.
GamePlayer.Sprint.TooFatigued:				Vous êtes trop fatigué pour sprinter !
GamePlayer.StartAttack.YouMustWait:			Vous devez attendre {0} secondes pour tenter une attaque !
GamePlayer.StartAttack.YouCantCombat:		Vous ne pouvez pas attaquer en étant mort !
GamePlayer.StartAttack.CantAttackStunned:	Vous ne pouvez pas attaquer lorsque vous êtes assomé !
GamePlayer.StartAttack.CantAttackmesmerized:Vous ne pouvez pas attaquer lorsque vous êtes endormi !
GamePlayer.StartAttack.YouMustWaitAgain:	Vous devez attendre {0} secondes pour tenter une nouvelle attaque.
GamePlayer.StartAttack.CannotWithoutWeapon:	Vous ne pouvez pas attaquer sans arme !
GamePlayer.StartAttack.CannotMelee:			Vous ne pouvez pas frapper avec un instrument !
GamePlayer.StartAttack.SelectQuiver:		Vous devez sélectionner un carquois à utiliser.
GamePlayer.StartAttack.CantUseQuiver:		Vous ne pouvez pas sélectionner ce carquois avec votre arme courante !
GamePlayer.StartAttack.TiredShot:			Vous êtes trop fatigué pour tenter un coup critique !
GamePlayer.StartAttack.TiredUse:			Vous êtes trop fatigué pour utiliser votre {0} !
GamePlayer.StartAttack.CombatNoTarget:		Vous entrez en combat, mais n'avez aucune cible.
