# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:               Acuite
SkillBase.RegisterPropertyNames.CastingSpeed:         Bonus à la vitesse d'incantation
SkillBase.RegisterPropertyNames.CaveMagic:            Magie Abyssale
SkillBase.RegisterPropertyNames.CelticDual:            Art de Combat
SkillBase.RegisterPropertyNames.CelticSpear:         Lance Celtique
SkillBase.RegisterPropertyNames.Chants:               Cantique
SkillBase.RegisterPropertyNames.Charisma:            Charisme
SkillBase.RegisterPropertyNames.CharismaBonusCap:      Bonus au cap d'attribut : Charisme
SkillBase.RegisterPropertyNames.Cold:               Froid
SkillBase.RegisterPropertyNames.ColdMagic:            Voie de la Glace
SkillBase.RegisterPropertyNames.ColdMagicFocus:         Focus : Voie de la Glace
SkillBase.RegisterPropertyNames.Composite:            Composite
SkillBase.RegisterPropertyNames.Concentration:         Concentration
SkillBase.RegisterPropertyNames.Constitution:         Constitution
SkillBase.RegisterPropertyNames.ConstitutionBonusCap:   Bonus au cap d'attribut : Constitution
SkillBase.RegisterPropertyNames.Creeping:            Voie Sylvestre
SkillBase.RegisterPropertyNames.CreepingPathFocus:      Focus : Voie Sylvestre
SkillBase.RegisterPropertyNames.CriticalArcheryHit:      Bonus aux chances de critique Archerie
SkillBase.RegisterPropertyNames.CriticalMeleeHit:      Bonus aux chance de critique en melee
SkillBase.RegisterPropertyNames.CriticalStrike:         Attaques Surnoises
SkillBase.RegisterPropertyNames.Crossbows:            Arbaletes
SkillBase.RegisterPropertyNames.Crush:               Contendant
SkillBase.RegisterPropertyNames.Crushing:            Contondant
SkillBase.RegisterPropertyNames.Cursing:            Sortileges
SkillBase.RegisterPropertyNames.CursingFocus:         Focus : Sortileges
SkillBase.RegisterPropertyNames.Darkness:            Tenebres
SkillBase.RegisterPropertyNames.DarknessFocus:         Focus : Tenebres
SkillBase.RegisterPropertyNames.DeathServant:         Servitor Mortis
SkillBase.RegisterPropertyNames.DeathservantFocus:      Focus : Servitor Mortis
SkillBase.RegisterPropertyNames.Deathsight:            Visio Mortis
SkillBase.RegisterPropertyNames.DeathsightFocus:     Focus : Visio Mortis
SkillBase.RegisterPropertyNames.DebuffEffectivness:      Reduction d'efficacite
SkillBase.RegisterPropertyNames.DefensiveBonus:         - Bonus de defense: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.Dementia:            Demence
SkillBase.RegisterPropertyNames.Dexterity:            Dexterite
SkillBase.RegisterPropertyNames.DexterityBonusCap:      Bonus au cap d'attribut : Dexterite
SkillBase.RegisterPropertyNames.DualWield:            Deux Armes
SkillBase.RegisterPropertyNames.EarthMagic:            Voie de la Terre
SkillBase.RegisterPropertyNames.EarthMagicFocus:      Focus : Voie de la Terre
SkillBase.RegisterPropertyNames.EffectiveLevel:         Niveau effectif
SkillBase.RegisterPropertyNames.Empathy:            Empathie
SkillBase.RegisterPropertyNames.EmpathyBonusCap:      Bonus au cap d'attribut : Empathie
SkillBase.RegisterPropertyNames.Enchantment:         Enchantements
SkillBase.RegisterPropertyNames.EnchantmentFocus:      Focus : Enchantements
SkillBase.RegisterPropertyNames.EnduranceRegeneration:   Regeneration d'endurance
SkillBase.RegisterPropertyNames.Energy:               Energie
SkillBase.RegisterPropertyNames.Enhancement:         Benedictions
SkillBase.RegisterPropertyNames.Envenom:            Empoisonner
SkillBase.RegisterPropertyNames.EtherealShriek:         Cri Ethere
SkillBase.RegisterPropertyNames.EtherealShriekFocus:   Focus : Cri Ethere
SkillBase.RegisterPropertyNames.EvadeChance:         - Esquive: {0}% (PvEUniquement)
SkillBase.RegisterPropertyNames.ExperienceLoss:         Reduction de perte d'experience
SkillBase.RegisterPropertyNames.Fatigue:            Endurance
SkillBase.RegisterPropertyNames.FireMagic:            Voie du Feu
SkillBase.RegisterPropertyNames.FireMagicFocus:         Focus : Voie du Feu
SkillBase.RegisterPropertyNames.FistWraps:            Bandages
SkillBase.RegisterPropertyNames.FlexibleWeapon:         Flexibles
SkillBase.RegisterPropertyNames.FumbleChance:         Chances de rater lamentablement
SkillBase.RegisterPropertyNames.Hammer:              Marteau
SkillBase.RegisterPropertyNames.HandToHand:            Contact
SkillBase.RegisterPropertyNames.HealingEffectiveness:   Bonus a l'efficacite des soins
SkillBase.RegisterPropertyNames.HealthRegeneration:      Regeneration des points de vie
SkillBase.RegisterPropertyNames.Heat:              Chaleur
SkillBase.RegisterPropertyNames.Hexing:               Malefices
SkillBase.RegisterPropertyNames.HexingFocus:         Focus : Malefices
SkillBase.RegisterPropertyNames.HitPointsBonusCap:      Bonus au cap des points de vie
SkillBase.RegisterPropertyNames.Hits:               Points de vie
SkillBase.RegisterPropertyNames.Instruments:         Instruments
SkillBase.RegisterPropertyNames.Intelligence:         Intelligence
SkillBase.RegisterPropertyNames.IntelligenceBonusCap:   Bonus au cap d'attribut : Intelligence
SkillBase.RegisterPropertyNames.LargeWeapon:         Grandes Armes
SkillBase.RegisterPropertyNames.LeftAxe:           Hache Senestre
SkillBase.RegisterPropertyNames.LightMagic:            Voie du Soleil
SkillBase.RegisterPropertyNames.LightMagicFocus:      Focus : Voie du Soleil
SkillBase.RegisterPropertyNames.Longbows:            Arc Long
SkillBase.RegisterPropertyNames.MagicDamageBonus:      Bonus au degats magiques
SkillBase.RegisterPropertyNames.Magnetism:            Force Tellurique
SkillBase.RegisterPropertyNames.ManaMagic:            Voie de la Lune
SkillBase.RegisterPropertyNames.ManaMagicFocus:        Focus : Voie de la Lune
SkillBase.RegisterPropertyNames.Matter:               Matiere
SkillBase.RegisterPropertyNames.MatterMagic:         Manipulation
SkillBase.RegisterPropertyNames.MatterMagicFocus:      Focus : Manipulation
SkillBase.RegisterPropertyNames.MaulerStaff:         Bâton de Kan-Laresh
SkillBase.RegisterPropertyNames.MaximumSpeed:         Vitesse maximum
SkillBase.RegisterPropertyNames.MeleeDamage:         Bonus aux degats de melee
SkillBase.RegisterPropertyNames.MeleeSpeed:            Bonus à la vitesse de melee
SkillBase.RegisterPropertyNames.Mending:            Reconstitution
SkillBase.RegisterPropertyNames.Mentalism:            Empathie
SkillBase.RegisterPropertyNames.MentalismFocus:         Focus : Empathie
SkillBase.RegisterPropertyNames.MesmerizeDuration:      Duree d'Hypnotisme
SkillBase.RegisterPropertyNames.MindMagic:            Âme
SkillBase.RegisterPropertyNames.MindMagicFocus:         Focus : Âme
SkillBase.RegisterPropertyNames.Music:               Musique
SkillBase.RegisterPropertyNames.Nature:               Croissance
SkillBase.RegisterPropertyNames.NegativeReduction:      - Reduction de la duree des effets negatifs: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.NightshadeMagic:      Magie de l'Ombre
SkillBase.RegisterPropertyNames.Nurture:            Symbiose
SkillBase.RegisterPropertyNames.OdinsWill:            Volonte d'Odin
SkillBase.RegisterPropertyNames.Pacification:         Apaisement
SkillBase.RegisterPropertyNames.Painworking:         Dolor Inflictus
SkillBase.RegisterPropertyNames.PainworkingFocus:      Focus : Dolor Inflictus
SkillBase.RegisterPropertyNames.Parry:               Parade
SkillBase.RegisterPropertyNames.ParryChance:         - Parade: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.Pathfinding:         Art des Forets
SkillBase.RegisterPropertyNames.PhantasmalWail:         Lamentation Sepulcrale
SkillBase.RegisterPropertyNames.PhantasmalWailFocus:   Focus : Lamentation Sepulcrale
SkillBase.RegisterPropertyNames.PieceAblative:         - Ablatif: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.Piercing:            Perforant
SkillBase.RegisterPropertyNames.Piety:               Piete
SkillBase.RegisterPropertyNames.PietyBonusCap:         Bonus au cap d'attribut : Piete
SkillBase.RegisterPropertyNames.Polearms:            Armes d'Hast
SkillBase.RegisterPropertyNames.Power:               Mana
SkillBase.RegisterPropertyNames.PowerBonusCap:         Bonus au cap des points de mana
SkillBase.RegisterPropertyNames.PowerPool:            Reserve de mana
SkillBase.RegisterPropertyNames.PowerRegeneration:      Regeneration des points de  mana
SkillBase.RegisterPropertyNames.PowerStrikes:         Coups Puissants
SkillBase.RegisterPropertyNames.Quickness:            Vivacite
SkillBase.RegisterPropertyNames.QuicknessBonusCap:      Bonus au cap d'attribut : Vivacite
SkillBase.RegisterPropertyNames.RangedDamage:         Tout degats à distance
SkillBase.RegisterPropertyNames.ReactionaryStyleDamage:   - Bonus aux styles reactionnels: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.RecurvedBow:         Arc Recourbe
SkillBase.RegisterPropertyNames.Regrowth:           Regeneration
SkillBase.RegisterPropertyNames.Rejuvenation:         Guerison
SkillBase.RegisterPropertyNames.ResistPierce:         Ignore les defenses magiques
SkillBase.RegisterPropertyNames.Runecarving:         Runes d'Odin
SkillBase.RegisterPropertyNames.RunecarvingFocus:      Focus : Runes d'Odin
SkillBase.RegisterPropertyNames.Savagery:           Sauvagerie
SkillBase.RegisterPropertyNames.Scythe:              Faux
SkillBase.RegisterPropertyNames.ShadowMastery:         Maîtrise des Ombres
SkillBase.RegisterPropertyNames.Shields:            Bouclier
SkillBase.RegisterPropertyNames.ShortBow:            Arc Court
SkillBase.RegisterPropertyNames.Slash:               Tranchant
SkillBase.RegisterPropertyNames.Slashing:            Tranchant
SkillBase.RegisterPropertyNames.Smiting:            Colere Divine
SkillBase.RegisterPropertyNames.Soulrending:         Tourment d'Âme
SkillBase.RegisterPropertyNames.Spear:               Lance
SkillBase.RegisterPropertyNames.SpectralForce:         Force Spectrale
SkillBase.RegisterPropertyNames.SpectralForceFocus:      Focus : Force Spectrale
SkillBase.RegisterPropertyNames.SpectralGuard:         Defense Spectrale
SkillBase.RegisterPropertyNames.SpeedDecreaseDuration:   Duree de ralentissement de deplacement
SkillBase.RegisterPropertyNames.SpellDuration:         Duree des sorts
SkillBase.RegisterPropertyNames.SpellPowerCost:         - Reduction des coûts en mana des sorts : {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.SpellRange:            Portee de sort
SkillBase.RegisterPropertyNames.Spirit:               Esprit
SkillBase.RegisterPropertyNames.SpiritMagic:         Voie du Simulacre
SkillBase.RegisterPropertyNames.SpiritMagicFocus:      Focus : Voie du Simulacre
SkillBase.RegisterPropertyNames.Staff:               Bâton
SkillBase.RegisterPropertyNames.StatBuffSpells:         Tous les sorts d'augmentation
SkillBase.RegisterPropertyNames.Stealth:            Furtivite
SkillBase.RegisterPropertyNames.Stormcalling:         Ire de Thor
SkillBase.RegisterPropertyNames.Strength:            Force
SkillBase.RegisterPropertyNames.StrengthBonusCap:      Bonus au cap d'attribut : Force
SkillBase.RegisterPropertyNames.StunDuration:         Duree des Stun
SkillBase.RegisterPropertyNames.StyleCostReduction:      - Reduction des coûts d'endurence des styles de combat: {0} pts (PvE Uniquement)
SkillBase.RegisterPropertyNames.StyleDamage:         Bonus aux degats des styles de combat
SkillBase.RegisterPropertyNames.Summoning:            Servants de Hel
SkillBase.RegisterPropertyNames.SummoningFocus:         Focus : Servants de Hel
SkillBase.RegisterPropertyNames.Suppression:         Affaiblissement
SkillBase.RegisterPropertyNames.SuppressionFocus:      Focus : Affaiblissement
SkillBase.RegisterPropertyNames.Sword:               Epee
SkillBase.RegisterPropertyNames.ThrownWeapons:         Armes de Jet
SkillBase.RegisterPropertyNames.Thrust:               Estoc
SkillBase.RegisterPropertyNames.Thrusting:            Estoc
SkillBase.RegisterPropertyNames.ToHitBonus:            - Chances de toucher: {0}% (PvE Unquement)
SkillBase.RegisterPropertyNames.TwoHanded:            Deux Mains
SkillBase.RegisterPropertyNames.Valor:               Vaillance
SkillBase.RegisterPropertyNames.VampiiricEmbrace:      Etreinte
SkillBase.RegisterPropertyNames.Verdant:            Voie de la Verdure
SkillBase.RegisterPropertyNames.VerdantFocus:         Focus : Voie de la Verdure
SkillBase.RegisterPropertyNames.VoidMagic:            Voie du Vide
SkillBase.RegisterPropertyNames.VoidMagicFocus:         Focus : Voie du Vide
SkillBase.RegisterPropertyNames.WeaponSkill:         Bonus à l'attaque (Weaponskill)
SkillBase.RegisterPropertyNames.WindMagic:            Voie de l'Air
SkillBase.RegisterPropertyNames.WindMagicFocus:         Focus : Voie de l'Air
SkillBase.RegisterPropertyNames.Witchcraft:            Artifices
SkillBase.RegisterPropertyNames.WitchcraftFocus:      Focus : Artifices
