# General Sentences
GMCommands.Error:							Erreur: {0}
GMCommands.Crafting.Usage.List:				'/crafting list' To have the list of all crafting skill with their id
GMCommands.Crafting.SkillDescription:		Crafting Skill ID description:
GMCommands.Crafting.NoPlayerTarget:			Vous devez selectionner un joueur.
GMCommands.Crafting.InvalidSkill:			You must enter a valid crafting skill id, type /crafting for command overview.
GMCommands.Crafting.SkillAdded:				Crafting skill {0} correctly added.
GMCommands.Crafting.AlreadyHaveSkill:		{0} already have the crafting skill {1}.
GMCommands.Crafting.NotHaveSkillAddIt:		{0} does not have the crafting skill {1}, add it first.
GMCommands.Crafting.SkillChanged:			Crafting skill {1} correctly changed.
GMCommands.Crafting.NowHasSkillPoints:		{0} now has {} in {}.


# /debug Command
GMCommands.Debug.Description:				Active ou desactive le mode Debug
GMCommands.Debug.Usage:						/debug <on/off>
GMCommands.Debug.ModeON:					Debug mode ON
GMCommands.Debug.ModeOFF:					Debug mode OFF


# ]jump Command
GMCommands.DebugJump.Description:			Teleporte au coordonnées specifiées.
GMCommands.DebugJump.Usage:					']jump <zoneID> <locX> <locY> <locZ> <heading>' Autoused for *jump in debug mode
GMCommands.DebugJump.InvalidZoneID:			Zone Id: {0} non valide.
GMCommands.DebugJump.UnknownZoneID:			Zone Id: {0} Inconnue.
GMCommands.DebugJump.UnknownRegion:			Region({0}) Inconnue.
GMCommands.DebugJump.RegionNotSuppByClient:	La region ({0}) n'est pas supportée par votre client.


# /door Command
GMCommands.Door.Description:				Manage the doors
GMCommands.Door.Usage.Add:					'/door add <DoorID>' Id must be same that door select packet and you must hit command when you are on door
GMCommands.Door.Usage.Remove:				'/door remove <DoorID>' Id must be same that door select packet
GMCommands.Door.InvalidDoorID:				Door id must be a ushort whitch are equal to real door id
GMCommands.Door.Created:					Door created with Id={0}
GMCommands.Door.DoorExist:					Door exist. Impossible create it. Id={0}
GMCommands.Door.Removed:					Door removed with Id={0}
GMCommands.Door.InexistentDoor:				Inexistent door. Impossible remove it. Id={0}

# /DoorMGR Command
GMCommands.dmgr.Description:				Modfication des portes
GMCommands.dmgr.Name:					'/dmgr Name <texte>'change le nom de la porte.
GMCommands.dmgr.Level:					'/dmgr Level <valeur>'change le level de la porte. 
GMCommands.dmgr.Realm:					'/dmgr realm <valeur>'change le realm de la porte. ! Attention si realm 0 la porte ne s'ouvre pas tant qu'elle est pas tuée
GMCommands.dmgr.Guild:					'/dmgr guild <texte>'change la guilde de la porte.
GMCommands.dmgr.Info:					'/dmgr info' donne les info de la porte.
GMCommands.dmgr.Heal:					'/dmgr heal' redonne le maximum de vie a la porte.
GMCommands.dmgr.Kill:					'/dmgr heal' "tue la porte".
GMCommands.dmgr.Locked:					'/dmgr locked 'verouille completement la porte.
GMCommands.dmgr.Unlocked:				'/dmgr unlocked 'deverouille la porte.
GMCommands.dmgr.Update:					'/dmgr update 'maj de la porte avec X Y Z de l'admin.
GMCommands.dmgr.Delete:					'/dmgr delete 'supprime la porte ciblée.
GMCommands.dmgr.Add:					'/dmgr  add' ajoute une porte

# /faction Command
GMCommands.Faction.Description:				Create a faction and assign friend and enemy faction
GMCommands.Faction.Usage.Create:			'/faction create <name> <base aggro level>' to create a faction
GMCommands.Faction.Usage.Assign:			'/faction assign' to assign the faction to the target mob
GMCommands.Faction.Usage.AddFriend:			'/faction addfriend <factionid>' to add faction friend to current faction
GMCommands.Faction.Usage.AddEnemy:			'/faction addenemy  <factionid>' to add enemy to the current faction
GMCommands.Faction.Usage.List:				'/faction list' to have a list of all faction
GMCommands.Faction.Usage.Select:			'/faction select <factionid>' to select the faction with this id
GMCommands.Faction.MustSelectFaction:		You must select a faction first.
GMCommands.Faction.IndexMustBeNumber:		The index must be a number.
GMCommands.Faction.FactionNotLoaded:		This Faction is not loaded
GMCommands.Faction.Create.BAMustBeNumber:	The baseAggro must be a number.
GMCommands.Faction.Create.NewCreated:		New faction created
GMCommands.Faction.Assign.MustSelectMob:	You must select a mob first.
GMCommands.Faction.Assign.MobHasJoinedFact:	The mob {0} has joined the faction of {1}.


# /gmrelic Command
GMCommands.GMRelic.Description:				Création de relique
GMCommands.GMRelic.Usage:					/gmrelic <magic|strength> <realm>


# /gmrelicpad Command
GMCommands.GMRelicPad.Description:			Création de RelicPad
GMCommands.GMRelicPad.Usage:				/gmrelic <magic|strength> <name> <realm>


# /harm Command
GMCommands.Harm.Description:				Blesse votre cible (health)
GMCommands.Harm.Usage:						/harm <amount>
GMCommands.Harm.InvalidTarget:				Vous n'avez pas de cible valide.


# /heal Command
GMCommands.Heal.Description:				Soigne votre cible (health, endu, mana)
GMCommands.Heal.Usage:						/heal


