
# HOUSING
House.DBHousePermissions.AccessLevel:			Access level {0}
Scripts.Player.Housing.HookPointNot:			Ce n'est pas un item utilisable sur les ancrages!
Scripts.Player.Housing.HookPointNotPlaced:		L'objet n'a pas ete place sur cet ancrage.
Scripts.Player.Housing.HouseUseMaterial:		Utilisez shift+clic-droit dans votre maison pour changer l'apparence de votre maison.
Scripts.Player.Housing.HouseUseMaterial:		Utilisez shift+clic-droit dans votre maison pour changer vos tapis.
Scripts.Player.Housing.IndoorFloorPlaced:		Vous avez place {0} à l'etage de votre maison.
Scripts.Player.Housing.IndoorItemPlaced:		Objet interieur place. {0} place restante.
Scripts.Player.Housing.IndoorMaxItems:			Vous avez actuellement place {0} objets dans votre maison. Vous ne pouvez plus en placer.
Scripts.Player.Housing.IndoorWallPlaced:		Vous venez de placer {0} sur le mur de votre maison.
Scripts.Player.Housing.InteriorBannersAdded:		Votre banniere de guilde interieure a ete changee.
Scripts.Player.Housing.InteriorBannersRemoved:		Votre banniere de guilde interieure a ete retiree.
Scripts.Player.Housing.InteriorShieldsAdded:		Votre embleme de guilde interieur a ete change.
Scripts.Player.Housing.InteriorShieldsRemoved:		Votre embleme de guilde interieur a ete retire.
Scripts.Player.Housing.LeftHouse:			Sortie de la maison {0}.
Scripts.Player.Housing.LotAlready:			Vous possedez dejà un autre lot ou une maison (numero {0})
Scripts.Player.Housing.LotBought:			Vous venez d'acheter ce lot pour {0} !
Scripts.Player.Housing.LotCost:				Il peut etre achete pour {0}.
Scripts.Player.Housing.LotNotItem:			Ce n'est pas un acte de propriete valide.
Scripts.Player.Housing.LotNotYours:			Vous ne possedez pas ce lot!
Scripts.Player.Housing.LotOffer:			Voulez-vous acheter ce lot? Il coûte {0}.
Scripts.Player.Housing.LotTargeted:			Vous selectionnez le lot numero {0}.
Scripts.Player.Housing.NotFloorObject:			Cet objet ne peut pas etre place à l'etage !
Scripts.Player.Housing.NotHookPoint:			Cet objet ne peut pas etre place sur l'ancrage !
Scripts.Player.Housing.NotWallObject:			Cet objet ne peut pas etre place sur le mur !
Scripts.Player.Housing.OutdoorBannersAdded:		Votre banniere de guilde exterieure a ete changee.
Scripts.Player.Housing.OutdoorBannersRemoved:		Votre banniere de guilde exterieure a ete retiree.
Scripts.Player.Housing.OutdoorShieldsAdded:		Votre embleme de guilde exterieur a ete change.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Votre embleme de guilde exterieur a ete retire.
Scripts.Player.Housing.PaidChanges:			Vous payez {0} pour effectuer les changements.
Scripts.Player.Housing.PaidNotEnough:			Vous n'avez pas assez d'argent pour faire cela !
Scripts.Player.Housing.PorchAlready:			Cette maison a dejà un porche !
Scripts.Player.Housing.PorchNone:			Cette maison ne contient pas de porche !
Scripts.Player.Housing.PorchNotItem:			Ce n'est pas un item pour le porche !
Scripts.Player.Housing.TransferToGuild:			Vous voulez transferer cette maison à {0} ?


