# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:               Acuité
SkillBase.RegisterPropertyNames.EffectiveLevel:         Niveau effectif
SkillBase.RegisterPropertyNames.Empathy:            Empathie
SkillBase.RegisterPropertyNames.EmpathyBonusCap:      Bonus au cap d'attribut : Empathie
SkillBase.RegisterPropertyNames.Enchantment:         Enchantements
SkillBase.RegisterPropertyNames.EnchantmentFocus:      Focus : Enchantements
SkillBase.RegisterPropertyNames.EnduranceRegeneration:   Régénération d'endurance
SkillBase.RegisterPropertyNames.Energy:               Energie
SkillBase.RegisterPropertyNames.Enhancement:         Bénédictions
SkillBase.RegisterPropertyNames.Envenom:            Empoisonner
SkillBase.RegisterPropertyNames.EtherealShriek:         Cri Ethéré
SkillBase.RegisterPropertyNames.EtherealShriekFocus:   Focus : Cri Ethéré
SkillBase.RegisterPropertyNames.EvadeChance:         - Esquive: {0}% (PvEUniquement)
SkillBase.RegisterPropertyNames.ExperienceLoss:         Réduction de perte d'expérience
SkillBase.RegisterPropertyNames.Fatigue:            Endurance
SkillBase.RegisterPropertyNames.FireMagic:            Voie du Feu
SkillBase.RegisterPropertyNames.FireMagicFocus:         Focus : Voie du Feu
SkillBase.RegisterPropertyNames.FistWraps:            Bandages
SkillBase.RegisterPropertyNames.FlexibleWeapon:         Flexibles
SkillBase.RegisterPropertyNames.FumbleChance:         Chances de rater lamentablement
SkillBase.RegisterPropertyNames.Hammer:              Marteau
SkillBase.RegisterPropertyNames.HandToHand:            Contact
SkillBase.RegisterPropertyNames.HealingEffectiveness:   Bonus a l'efficacité des soins
SkillBase.RegisterPropertyNames.HealthRegeneration:      Régéneration des points de vie
SkillBase.RegisterPropertyNames.Heat:              Chaleur
SkillBase.RegisterPropertyNames.Hexing:               Maléfices
SkillBase.RegisterPropertyNames.HexingFocus:         Focus : Maléfices
SkillBase.RegisterPropertyNames.HitPointsBonusCap:      Bonus au cap des points de vie
SkillBase.RegisterPropertyNames.Hits:               Points de vie
SkillBase.RegisterPropertyNames.Instruments:         Instruments
SkillBase.RegisterPropertyNames.Intelligence:         Intelligence
SkillBase.RegisterPropertyNames.IntelligenceBonusCap:   Bonus au cap d'attribut : Intelligence
SkillBase.RegisterPropertyNames.LargeWeapon:         Grandes Armes
SkillBase.RegisterPropertyNames.LeftAxe:           Hache Sénèstre
SkillBase.RegisterPropertyNames.LightMagic:            Voie du Soleil
SkillBase.RegisterPropertyNames.LightMagicFocus:      Focus : Voie du Soleil
SkillBase.RegisterPropertyNames.Longbows:            Arc Long
SkillBase.RegisterPropertyNames.MagicDamageBonus:      Bonus au dégats magiques
SkillBase.RegisterPropertyNames.Magnetism:            Force Téllurique
SkillBase.RegisterPropertyNames.ManaMagic:            Voie de la Lune
SkillBase.RegisterPropertyNames.ManaMagicFocus:        Focus : Voie de la Lune
SkillBase.RegisterPropertyNames.Matter:               Matière
SkillBase.RegisterPropertyNames.MatterMagic:         Manipulation
SkillBase.RegisterPropertyNames.MatterMagicFocus:      Focus : Manipulation
SkillBase.RegisterPropertyNames.MaulerStaff:         Bâton de Kan-Laresh
SkillBase.RegisterPropertyNames.MaximumSpeed:         Vitesse maximum
SkillBase.RegisterPropertyNames.MeleeDamage:         Bonus aux dégats de mélée
SkillBase.RegisterPropertyNames.MeleeSpeed:            Bonus à la vitesse de mélée
SkillBase.RegisterPropertyNames.Mending:            Reconstitution
SkillBase.RegisterPropertyNames.Mentalism:            Empathie
SkillBase.RegisterPropertyNames.MentalismFocus:         Focus : Empathie
SkillBase.RegisterPropertyNames.MesmerizeDuration:      Durée d'Hypnotisme
SkillBase.RegisterPropertyNames.MindMagic:            Âme
SkillBase.RegisterPropertyNames.MindMagicFocus:         Focus : Âme
SkillBase.RegisterPropertyNames.Music:               Musique
SkillBase.RegisterPropertyNames.Nature:               Croissance
SkillBase.RegisterPropertyNames.NegativeReduction:      - Réduction de la durée des effets négatifs: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.NightshadeMagic:      Magie de l'Ombre
SkillBase.RegisterPropertyNames.Nurture:            Symbiose
SkillBase.RegisterPropertyNames.OdinsWill:            Volonté d'Odin
SkillBase.RegisterPropertyNames.Pacification:         Apaisement
SkillBase.RegisterPropertyNames.Painworking:         Dolor Inflictus
SkillBase.RegisterPropertyNames.PainworkingFocus:      Focus : Dolor Inflictus
SkillBase.RegisterPropertyNames.Parry:               Parade
SkillBase.RegisterPropertyNames.ParryChance:         - Parade: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.Pathfinding:         Art des Forêts
SkillBase.RegisterPropertyNames.PhantasmalWail:         Lamentation Sépulcrale
SkillBase.RegisterPropertyNames.PhantasmalWailFocus:   Focus : Lamentation Sépulcrale
SkillBase.RegisterPropertyNames.PieceAblative:         - Ablatif: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.Piercing:            Perforant
SkillBase.RegisterPropertyNames.Piety:               Piété
SkillBase.RegisterPropertyNames.PietyBonusCap:         Bonus au cap d'attribut : Piété
SkillBase.RegisterPropertyNames.Polearms:            Armes d'Hast
SkillBase.RegisterPropertyNames.Power:               Mana
SkillBase.RegisterPropertyNames.PowerBonusCap:         Bonus au cap des points de mana
SkillBase.RegisterPropertyNames.PowerPool:            Résèrve de mana
SkillBase.RegisterPropertyNames.PowerRegeneration:      Régénération des points de  mana
SkillBase.RegisterPropertyNames.PowerStrikes:         Coups Puissants
SkillBase.RegisterPropertyNames.Quickness:            Vivacité
SkillBase.RegisterPropertyNames.QuicknessBonusCap:      Bonus au cap d'attribut : Vivacité
SkillBase.RegisterPropertyNames.RangedDamage:         Tout dégats à distance
SkillBase.RegisterPropertyNames.ReactionaryStyleDamage:   - Bonus aux styles réactionnels: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.RecurvedBow:         Arc Recourbé
SkillBase.RegisterPropertyNames.Regrowth:           Régénération
SkillBase.RegisterPropertyNames.Rejuvenation:         Guérison
SkillBase.RegisterPropertyNames.ResistPierce:         Ignore les défenses magiques
SkillBase.RegisterPropertyNames.Runecarving:         Runes d'Odin
SkillBase.RegisterPropertyNames.RunecarvingFocus:      Focus : Runes d'Odin
SkillBase.RegisterPropertyNames.Savagery:           Sauvagerie
SkillBase.RegisterPropertyNames.Scythe:              Faux
SkillBase.RegisterPropertyNames.ShadowMastery:         Maîtrise des Ombres
SkillBase.RegisterPropertyNames.Shields:            Bouclier
SkillBase.RegisterPropertyNames.ShortBow:            Arc Court
SkillBase.RegisterPropertyNames.Slash:               Tranchant
SkillBase.RegisterPropertyNames.Slashing:            Tranchant
SkillBase.RegisterPropertyNames.Smiting:            Colère Divine
SkillBase.RegisterPropertyNames.Soulrending:         Tourment d'Âme
SkillBase.RegisterPropertyNames.Spear:               Lance
SkillBase.RegisterPropertyNames.SpectralForce:         Force Spectrale
SkillBase.RegisterPropertyNames.SpectralForceFocus:      Focus : Force Spectrale
SkillBase.RegisterPropertyNames.SpectralGuard:         Défense Spectrale
SkillBase.RegisterPropertyNames.SpeedDecreaseDuration:   Durée de ralentissement de déplacement
SkillBase.RegisterPropertyNames.SpellDuration:         Durée des sorts
SkillBase.RegisterPropertyNames.SpellPowerCost:         - Réduction des coûts en mana des sorts : {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.SpellRange:            Portée de sort
SkillBase.RegisterPropertyNames.Spirit:               Esprit
SkillBase.RegisterPropertyNames.SpiritMagic:         Voie du Simulacre
SkillBase.RegisterPropertyNames.SpiritMagicFocus:      Focus : Voie du Simulacre
SkillBase.RegisterPropertyNames.Staff:               Bâton
SkillBase.RegisterPropertyNames.StatBuffSpells:         Tous les sorts d'augmentation
SkillBase.RegisterPropertyNames.Stealth:            Furtivité
SkillBase.RegisterPropertyNames.Stormcalling:         Ire de Thor
SkillBase.RegisterPropertyNames.Strength:            Force
SkillBase.RegisterPropertyNames.StrengthBonusCap:      Bonus au cap d'attribut : Force
SkillBase.RegisterPropertyNames.StunDuration:         Durée des Stun
SkillBase.RegisterPropertyNames.StyleCostReduction:      - Réduction des coûts d'endurence des styles de combat: {0} pts (PvE Uniquement)
SkillBase.RegisterPropertyNames.StyleDamage:         Bonus aux dégats des styles de combat
SkillBase.RegisterPropertyNames.Summoning:            Servants de Hel
SkillBase.RegisterPropertyNames.SummoningFocus:         Focus : Servants de Hel
SkillBase.RegisterPropertyNames.Suppression:         Affaiblissement
SkillBase.RegisterPropertyNames.SuppressionFocus:      Focus : Affaiblissement
SkillBase.RegisterPropertyNames.Sword:               Epée
SkillBase.RegisterPropertyNames.ThrownWeapons:         Armes de Jet
SkillBase.RegisterPropertyNames.Thrust:               Estoc
SkillBase.RegisterPropertyNames.Thrusting:            Estoc
SkillBase.RegisterPropertyNames.ToHitBonus:            - Chances de toucher: {0}% (PvE Unquement)
SkillBase.RegisterPropertyNames.TwoHanded:            Deux Mains
SkillBase.RegisterPropertyNames.Valor:               Vaillance
SkillBase.RegisterPropertyNames.VampiiricEmbrace:      Etreinte
SkillBase.RegisterPropertyNames.Verdant:            Voie de la Verdure
SkillBase.RegisterPropertyNames.VerdantFocus:         Focus : Voie de la Verdure
SkillBase.RegisterPropertyNames.VoidMagic:            Voie du Vide
SkillBase.RegisterPropertyNames.VoidMagicFocus:         Focus : Voie du Vide
SkillBase.RegisterPropertyNames.WeaponSkill:         Bonus à l'attaque (Weaponskill)
SkillBase.RegisterPropertyNames.WindMagic:            Voie de l'Air
SkillBase.RegisterPropertyNames.WindMagicFocus:         Focus : Voie de l'Air
SkillBase.RegisterPropertyNames.Witchcraft:            Artifices
SkillBase.RegisterPropertyNames.WitchcraftFocus:      Focus : Artifices
