Effects.BannerOfBesiegingEffect.Name:		Banner der Belagerung
Effects.InterceptEffect.Name:			Abfangen
Effects.InterceptEffect.InfoEffect:		Fähigkeit, die den Schlag eines zu Schützenden abfängt. Ihr erleidet den Schaden an Stelle des Ziels.
Effects.InterceptEffect.XInterceptingY:		{0} fängt für {0} ab.

Effects.Necro.TauntEffect.SeemsChange:		{0} scheint sein Verhalten zu ändern und zeigt sich wesentlich aggressiver als vorher.
Effects.Necro.TauntEffect.SeemsLessAgg:		{0} zeigt sich weniger aggressiv als vorher.

Effects.ProtectEffect.YouProtectingYBut:	Ihr beschützt nun {0}, aber musst dazu näher heran.
Effects.ProtectEffect.XProtectingYouBut:	{0} beschützt Euch nun, aber dazu müsst Ihr näher an {0} heran.
Effects.ProtectEffect.YouProtectingY:		Ihr beschützt nun {0}.
Effects.ProtectEffect.XProtectingYou:		{0} beschützt Euch nun.
Effects.ProtectEffect.YouNoProtectY:		Ihr beschützt {0} nicht mehr.
Effects.ProtectEffect.XNoProtectYou:		{0} beschützt Euch nun nicht mehr.
Effects.ProtectEffect.ProtectByName:		{0} beschützt durch {1}
Effects.ProtectEffect.Name:			Beschützen
Effects.ProtectEffect.InfoEffect:		Fähigkeit, die ein Ziel beschützt. Ihr reduziert die Aggressivität, die eine Aktion hervorrufen würde.
Effects.ProtectEffect.XProtectingY:		{0} beschützt {1}

Effects.Quickcast.DelveInfo:			Wird nicht unterbrochen durch einen weiteren Zauberspruch.

Effects.QuickCastEffect.YouActivatedQC:		Ihr bereitet Euch auf das Schnellzaubern vor.
Effects.QuickCastEffect.YourNextSpellNoQCed:	Euer nächster Zauberspruch wird nun nicht mehr schneller gezaubert.
Effects.QuickCastEffect.Name:			Schnellzaubern
Effects.QuickCastEffect.InfoEffect:		Hiermit könnt Ihr einen Zauberspruch schneller ausführen, doch kostet dieser die doppelte Energie. Er werdet aber nicht durch Angriffe oder feindliche Zauberer abgelenkt.

Effects.RapidFireEffect.YouSwitchRFMode:	Ihr bereitet eine schneller Schussfolge vor!
Effects.RapidFireEffect.Name:			Schnelle Schussfolge

Effects.ShadeEffect.Name:			Verstecken

Effects.SprintEffect.Name:			Sprinten

Effects.StagEffect.HuntsSpiritChannel:		Ihr verbindet Euch mit dem Geist der Jagd!
Effects.StagEffect.YourHuntsSpiritEnds:		Die Verbindung mit dem Geist der Jagd ist unterbrochen.
Effects.StagEffect.Name:			Hirschkreatur
Effects.StagEffect.InfoEffect:			Eine Fähigkeit, die Euch in einen Hirsch verwandelt. Dieser Effekt hält etwa 30 Sekunden an und erhöht Eure Trefferpunkte. Dieser Effekt kann nur alle 30 Minuten eingesetzt werden.

Effects.StaticEffect.YouCantRemoveThisEffect:	Ihr könnt diesen Effekt nicht entfernen!

Effects.StealthEffect.Name:			Verborgen

Effects.SureShotEffect.YouSwitchToSSMode:	Ihr bereitet einen Sicheren Schuss vor!
Effects.SureShotEffect.Name:			Sicherer Schuss

Effects.TripleWieldEffect.MBHitsExtraDamage:	Eure magische Klinge trifft {0} mit {1} Extraschaden!
Effects.TripleWieldEffect.XMBExtraDamageToYou:	{0}s magische Klinge verursacht bei {1} Extraschaden!
Effects.TripleWieldEffect.Name:			Dritte Waffe
Effects.TripleWieldEffect.InfoEffect:		Magische Klinge, die zusätzlichen Schaden verursacht.
