# Unknown
GamePlayer.RealmTitle.UnknownRealm:					Unbekanntes Reich
GamePlayer.RealmTitle.Hibernia.RR8.Male:			Goldspeer
GamePlayer.RealmTitle.Hibernia.RR9.Male:			Tiarna
GamePlayer.RealmTitle.Hibernia.RR10.Male:			Smaragdreiter
GamePlayer.RealmTitle.Hibernia.RR11.Male:			Barun
GamePlayer.RealmTitle.Hibernia.RR12.Male:			Ard Tiarna
GamePlayer.RealmTitle.Hibernia.RR13.Male:			Ciann Cath

# /Female
GamePlayer.RealmTitle.Hibernia.RR0.Female:			Verteidiger
GamePlayer.RealmTitle.Hibernia.RR1.Female:			Weise
GamePlayer.RealmTitle.Hibernia.RR2.Female:			Cosantoir
GamePlayer.RealmTitle.Hibernia.RR3.Female:			Brehon
GamePlayer.RealmTitle.Hibernia.RR4.Female:			Forstbewahrerin
GamePlayer.RealmTitle.Hibernia.RR5.Female:			Rabenjüngerin
GamePlayer.RealmTitle.Hibernia.RR6.Female:			Silberband
GamePlayer.RealmTitle.Hibernia.RR7.Female:			Donnerer
GamePlayer.RealmTitle.Hibernia.RR8.Female:			Goldspeer
GamePlayer.RealmTitle.Hibernia.RR9.Female:			Bantiarna
GamePlayer.RealmTitle.Hibernia.RR10.Female:			Smaragdreiterin
GamePlayer.RealmTitle.Hibernia.RR11.Female:			Banbharun
GamePlayer.RealmTitle.Hibernia.RR12.Female:			Ard Bantiarna
GamePlayer.RealmTitle.Hibernia.RR13.Female:			Ciann Cath
