# Language file for DOL
# Language used : ITALIAN
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:				Inglese
GamePlayer.SwitchWeapon.SpellCancelled:		Il tuo incantesimo e' stato annullato!
GamePlayer.StartAttack.YouMustWait:			Devi aspettare altri {0} secondi per tentare un nuovo attacco!
GamePlayer.StartAttack.YouCantCombat:		Non puoi entrare in combattimento quando giaci a terra!
GamePlayer.StartAttack.CantAttackStunned:	Non puoi attaccare quando sei bloccato!
GamePlayer.StartAttack.CantAttackmesmerized:Non puoi attaccare quando sei incantato!
GamePlayer.StartAttack.YouMustWaitAgain:	Devi aspettare altri {0} secondi prima di poter attaccare nuovamente.
GamePlayer.StartAttack.CannotWithoutWeapon:	Non puoi entrare in combattimento senza un'arma!
GamePlayer.StartAttack.CannotMelee:			Non puoi entrare in corpo-a-corpo con uno strumento musicale!
GamePlayer.StartAttack.SelectQuiver:		Devi selezionare lo slot della faretra da usare!
GamePlayer.StartAttack.CantUseQuiver:		Non puoi utilizzare i colpi della faretra con quest'arma!
GamePlayer.StartAttack.TiredShot:			Sei troppo stanco per poter effettuare un colpo critico!
GamePlayer.StartAttack.TiredUse:			Sei troppo stanco per poter usare {0}!
GamePlayer.StartAttack.CombatNoTarget:		Entri in combattimento ma non hai alcun bersaglio selezionato!
GamePlayer.StartAttack.CombatTarget:		Entri in combattimento e selezioni [{0}]
GamePlayer.StartAttack.SpellCancelled:		Il tuo incantesimo e' stato annullato!
GamePlayer.StartAttack.TargetInRange:		, il bersaglio e' nel raggio
GamePlayer.StartAttack.TargetOutOfRange:	, il bersaglio e' fuori dal raggio
GamePlayer.StartAttack.YouPrepare:			Prepari {0} ({1}.{2}s per colpire{3})
GamePlayer.OnLinkdeath.Linkdead:			{0} ha perso la connessione!
GamePlayer.Bind.LastBindPoint:				Ultimo punto di rinascita : {0}.
GamePlayer.Bind.CantBindDead:				Non puoi impostare un punto di rinascita quando sei morto!
GamePlayer.Bind.MustWait:					Devi aspettare {0} secondi per poter impostare un nuovo punto di rinascita!
GamePlayer.Bind.Bound:						Hai impostato il tuo punto di rinascita in questo luogo.
GamePlayer.Bind.CantHere:					Non puoi impostare un punto di rinascita in questo luogo!
GamePlayer.Spell.NotEnoughPowerful:			Non sei abbastanza potente da poter utilizzare l'incantesimo di questo oggetto.
GamePlayer.Spell.NotImplemented:			{0} ({1}) non ancora implementato su questo server.
GamePlayer.Spell.Proc.NotImplemented:		L'effetto reattivo con ID {0} non e' ancora implementato su questo server.
GamePlayer.RealmTitle.UnknownRealm:			Reame non valido
GamePlayer.SwitchQuiver.ShootWith:			Colpirai con: {0}.
GamePlayer.SwitchQuiver.NoMoreAmmo:			Non hai piu' colpi nella tua faretra!
GamePlayer.SwitchQuiver.NotUseQuiver:		Non usi piu' la tua faretra.
GamePlayer.Pronoun.Male.Subjective:			lui
GamePlayer.Pronoun.Male.Possessive:			suo
GamePlayer.Pronoun.Male.Objective:			lo
GamePlayer.Pronoun.Female.Subjective:		lei
GamePlayer.Pronoun.Female.Possessive:		suo
GamePlayer.Pronoun.Female.Objective:		la
GamePlayer.IsOnHorse.DismountSteed:			Smonti dalla cavalcatura.
GamePlayer.IsOnHorse.MountSteed:			Monti sulla cavalcatura.
GamePlayer.Die.LoseExperience:				Perdi un po' di esperienza!
GamePlayer.DuelStop.DuelEnds:				Il tuo duello e' finito!
GamePlayer.CastSpell.CantCastStunned:		Non puoi lanciare incantesimi quando sei bloccato!
GamePlayer.CastSpell.CantCastMezzed:		Non puoi lanciare incantesimi quando sei incantato!
GamePlayer.CastSpell.AlreadyPlaySong:		Stai gia' suonando una canzone!
GamePlayer.CastSpell.AlreadyCastFollow:		Stai gia' lanciando un incantesimo! Prepari questo incantesimo come seguente!
GamePlayer.CastSpell.AlreadyCastNoQueue:	Stai gia' lanciando un incantesimo, per abilitare la successione di incantesimi digita '/noqueue'!
GamePlayer.ReceiveTradeItem.StillSelfcrafting:	Stai gia' costruendo.
GamePlayer.ReceiveTradeItem.CantTrade:		Non puoi vendere questo oggetto!
GamePlayer.UseSlot.CantFire:				Non puoi usare questo oggetto!
GamePlayer.UseSlot.CantMountWhileDead:		Non puoi montare sulla cavalcatura quando sei morto.
GamePlayer.UseSlot.MustDismountBefore:		Devi prima smontare dalla cavalcatura.
GamePlayer.UseSlot.CantSummonRvR:			Non puoi richiamare questa cavalcatura nelle zone RvR.
GamePlayer.UseSlot.CantMountMoving:			Non puoi montare sulla cavalcatura mentre ti muovi.
GamePlayer.UseSlot.CantCallMountSeated:		Non puoi richiamare la cavalcatura mentre stai seduto.
GamePlayer.UseSlot.CantMountSteath:			Non puoi montare sulla cavalcatura mentre sei invisibile.
GamePlayer.UseSlot.CantMountCombat:			Non puoi montare sulla cavalcatura mentre sei in combattimento.
GamePlayer.UseSlot.StopCallingMount:		Smetti di richiamare la tua cavalcatura.
GamePlayer.UseSlot.WhistleMount:			Fischi per richiamare la tua cavalcatura.
GamePlayer.UseSlot.CantSeeTarget:			Non riesci a vedere il bersaglio!
GamePlayer.UseSlot.AutoReleaseShot:			Rilasci automaticamente il colpo.
GamePlayer.UseSlot.AutoReleaseShotReload:	Rilasci automaticamente il colpo e ricarichi.
GamePlayer.UseSlot.NoAutoReleaseShotReload:	Non rilasci piu' automaticamente il colpo o ricarichi.
GamePlayer.UseSlot.CantUseInCombat:			Non puoi usare questo oggetto in combattimento!
GamePlayer.UseSlot.NotEnouthPower:			Non sei abbastanza potente da poter utilizzare l'incantesimo di questo oggetto.
GamePlayer.UseSlot.Can'tUseFromBackpack:	Non puoi usare questo oggetto direttamente dal tuo zaino. Devi prima indossarlo!
GamePlayer.ApplyPoison.CantUsePoisons:		Non puoi usare veleni.
GamePlayer.ApplyPoison.PoisonsAppliedWeapons:	I veleni possono essere usati solamente sulle armi.
GamePlayer.ApplyPoison.CantPoisonWeapon:	Non puoi avvelenare quest'arma!
GamePlayer.ApplyPoison.CantUsePoison:		Non puoi usare questo veleno.
GamePlayer.ApplyPoison.CantApplyRecentCombat:	Sei stato in combattimento di recente e non puoi ancora applicare veleni!
GamePlayer.Whisper.SelectTarget:			Seleziona il bersaglio a cui sussurrare!
GamePlayer.DrowningTimerCallback.CannotBreath:				Non puoi respirare sottacqua e subisci un danno!
GamePlayer.DrowningTimerCallback.Take5%Damage:				Subisci il 5% dei tuoi punti ferita massimi di danno.
GamePlayer.Sprint.TooFatigued:				Sei troppo affaticato per scattare!
GamePlayer.Sprint.CantSprintHidden:			Non puoi scattare mentre sei invisibile!
GamePlayer.Sprint.CantSprintDead:			Non puoi scattare quando sei morto!
GamePlayer.Sprint.PrepareSprint:			Ti prepari a scattare!
GamePlayer.Sprint.NoLongerReady:			Smetti di scattare.
GamePlayer.OnPlayerMove.InterruptCrafting:	Ti muovi e interrompi la costruzione.
GamePlayer.OnPlayerMove.CannotCallMount:	Ti muovi e non puoi chiamare la tua cavalcatura.
GamePlayer.Sit.InterruptCallMount:			Tenti di sederti e interrompi la chiamata della cavalcatura!
GamePlayer.Sit.AlreadySitting:				Sei gia' seduto!
GamePlayer.Sit.NotSitting:					Non sei seduto!
GamePlayer.Sit.CantSitDead:					Non puoi sederti quando sei morto!
GamePlayer.Sit.CantSitStunned:				Non puoi riposarti quando sei bloccato!
GamePlayer.Sit.CantSitMezzed:				Non puoi riposarti quando sei incantato!
GamePlayer.Sit.MustStandingStill:			Devi rimanere ancora in piedi prima di poterti sedere.
GamePlayer.Sit.MustDismount:				Devi prima smontare dalla cavalcatura.
GamePlayer.Sit.YouSitDown:					Ti siedi.  Digita '/stand' oppure muoviti per alzarti.
GamePlayer.Sit.YouStandUp:					Ti alzi.
GamePlayer.Sit.NoLongerWaitingQuit:			Non stai piu' aspettando di uscire.
GamePlayer.UpdateEncumberance.EncumberedMoveSlowly:		Sei sovrappeso e ti muovi piu' lentamente.
GamePlayer.UpdateEncumberance.Encumbered:	Sei sovrappeso!
GamePlayer.PickupObject.MustHaveTarget:		Devi avere un bersaglio per raccogliere qualcosa!
GamePlayer.PickupObject.LootDoesntBelongYou:			Questo oggetto non ti appartiene - non puoi raccoglierlo.
GamePlayer.PickupObject.CantGetThat:		Non puoi prenderlo!
GamePlayer.PickupObject.BackpackFull:		Il tuo zaino e' pieno. Devi prima lasciare qualcosa.
GamePlayer.PickupObject.NoOneGroupWantsMoney:			Nessuno nel gruppo vuole denaro.
GamePlayer.SaveIntoDatabase.CharacterSaved:	Il tuo personaggio e' stato salvato.
GamePlayer.Stealth.NowHidden:				Ora sei invisibile!
GamePlayer.Stealth.NoLongerHidden:			Non sei piu' invisibile!
GamePlayer.CraftItem.DontHaveAbilityMake:	Non hai l'abilita' di costruire questo oggetto.
GamePlayer.OpenSelfCraft.AlreadySelfCrafting:			Stai gia' costruendo.
GamePlayer.OpenSelfCraft.CanOnlyCraftBackpack:			Puoi costruire solamente oggetti nel tuo zaino!
GamePlayer.SetControlledNpc.ReleaseTarget:				Rilasci il controllo del tuo bersaglio.
GamePlayer.CommandNpcAttack.TooFarAwayForPet:			Il tuo bersaglio e' troppo lontano per poter essere attaccato dal tuo pet!
GamePlayer.CommandNpcGoTarget.MustSelectDestination:	Devi scegliere una destinazione per il tuo pet.
GamePlayer.Shade.AlreadyShade:				Sei gia' un'ombra!
GamePlayer.Shade.NoLongerShade:				Non sei piu' un'ombra!
GamePlayer.CurrentTitle.TitleCleared:		Il tuo titolo e' stato reimpostato.
					
# HOUSING
HouseEnterLeave.TooFarAway:					Sei troppo lontano per poter entrare nella casa {0}.
HouseEnterLeave.CantEnter:					Non puoi entrare nella casa {0}.
HousingDecorationRotate.Rotated:			La decorazione interna e' stata ruotata da {0} a {1} gradi.
HousingPickupItemHandler.GardenRemoved:		Oggetto giardino rimosso.
HousingPickupItemHandler.PickUp:			Prendi {0} e lo metti nello zaino.
HousingPlaceItemHandler.30objects:			Hai gia' posizionato 30 oggetti. Non puoi metterne altri.
HousingPlaceItemHandler.40objects:			Hai gia' posizionato 40 oggetti. Non puoi metterne altri.
HousingPlaceItemHandler.CantFloor:			Questo oggetto non puo' essere messo sul pavimento !
HousingPlaceItemHandler.CantWall:			Questo oggetto non puo' essere messo su un muro !
HousingPlaceItemHandler.DropOnFloor:		Lasci cadere {0} sul pavimento della tua casa !
HousingPlaceItemHandler.DropOnGarden:		Lasci cadere {0} sul tuo giardino !
HousingPlaceItemHandler.DropOnWall:			Appendi {0} sul muro della tua casa !
HousingPlaceItemHandler.GardenObjectPlaced:	Oggetto giardino posizionato. {0} slot rimanenti.
HousingPlaceItemHandler.HasPorch:			Questa casa ha gia' un balcone !
HousingPlaceItemHandler.HasNoPorch:			Questa casa non ha balcone !
HousingPlaceItemHandler.IndoorObjectPlaced:	Oggetto interno posizionato. {0} slot rimanenti.
HousingPlaceItemHandler.NoHookpoint:		Ora non ci sono hookpoints !
HousingPlaceItemHandler.PutMoney:			Depositi il denaro nella tua casa.

# SCRIPTS
# /Language
Scripts.Players.Language.Set:				Cambi la lingua dei messaggi del server in {0}.
Scripts.Players.Language.Current:			La tua lingua e' attualmente impostata in: {0}.
