# Language file for DOL
# Language used : CZECH / CESTINA
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:				Anglictina
GamePlayer.GainExperience.CannotRaise:		Nemuzes postoupit na sestou uroven dokud nevstoupis do cechu sveho budouciho povolani!
GamePlayer.GainExperience.TalkToTrainer:	Promluv si s trenerem pro vice informaci.
GamePlayer.OnLevelUp.YouRaise:				Postoupil jsi na {0} uroven!
GamePlayer.OnLevelUp.YouAchived:			Dosahl jsi {0} urovne!
GamePlayer.OnLevelUp.FreeLevelEligible:		Mas moznost ziskat uroven zdarma! Klikni na trenera abys ho ziskal (nebo napis /freelevel decline pro odlozeni na pozdeji)
GamePlayer.OnLevelUp.Reached:				{0} dosahl urovne {1} v {2}!
GamePlayer.OnLevelUp.StatRaise:				Tvoje vlastnosti se zvysily!
GamePlayer.OnLevelUp.AttainedRank:			Dosahl jsi hodnosti {0}!
GamePlayer.OnLevelUp.YouGetSpec:			Na teto urovni jsi ziskal {0} dovednostnich bodu k rozdeleni!
GamePlayer.OnLevelUp.HitsRaise:				Tvoje zivoty vzrostly o {0} bodu.
GamePlayer.OnLevelUp.PowerRaise:			Tvoje mana vzrostla o {0} bodu.
GamePlayer.OnLevelUp.SecondStage:			Postoupil jsi do druhe etapy {0} urovne!

# HOUSING
HouseEnterLeave.TooFarAway:					Jsi prilis daleko aby jsi mohl vstoupit do domu {0}.
HouseEnterLeave.CantEnter:					Nemuzes vstoupit do domu {0}.
HousingDecorationRotate.Rotated:			Vnitrni dekorace otocena z {0} stupnu na {1} stupnu.
HousingPickupItemHandler.GardenRemoved:		Zahradni objekt je odstranen.
HousingPickupItemHandler.PickUp:			Dostal jsi {0} a dal do batohu.
HousingPlaceItemHandler.30objects:			Uz jsi umistil 30 objektu. Nemuzes vic.
HousingPlaceItemHandler.40objects:			Uz jsi umistil 40 objektu. Nemuzes vic.
HousingPlaceItemHandler.CantFloor:			Tento objekt nemuze byt umisten na podlaze !
HousingPlaceItemHandler.CantWall:			Tento objekt nemuze byt umisten na zdi !
HousingPlaceItemHandler.DropOnFloor:		Umistil jsi {0} na podlahu !
HousingPlaceItemHandler.DropOnGarden:		Umistil jsi {0} na zahradu !
HousingPlaceItemHandler.DropOnWall:			Umistil jsi {0} na zed !
HousingPlaceItemHandler.GardenObjectPlaced:	Zahradni objekt umisten. {0} pozic zbiva.
HousingPlaceItemHandler.HasPorch:			Tento dum jiz ma verandu !
HousingPlaceItemHandler.HasNoPorch:			Tento dum nema verandu !
HousingPlaceItemHandler.IndoorObjectPlaced:	Vnitrní objekt umisten. {0} pozic zbiva.
HousingPlaceItemHandler.NoHookpoint:		Zadne uchycovaci body nejsou momentalne k dispozici !
HousingPlaceItemHandler.PutMoney:			Dal jsi penize na tvuj dum.

# SCRIPTS
# /Language
Scripts.Players.Language.Set:				Zmenil jsi jazyk na: {0}.
Scripts.Players.Language.Current:			Jazyk je prave nastaven na: {0}.
