# HOUSING

# /house

House.DBHousePermissions.AccessLevel:			Access level {0}
Scripts.Player.Housing.InteriorShieldsAdded:		Your interior guild shields have been changed.	

Scripts.Player.Housing.InteriorShieldsRemoved:		Your interior guild shields have been removed.	

Scripts.Player.Housing.LeftHouse:			You have exited house number {0}.

Scripts.Player.Housing.LotAlready:			You already own another lot or house (Number {0})

Scripts.Player.Housing.LotBought:			You just bought this lot for {0}!

Scripts.Player.Housing.LotCost:			

Scripts.Player.Housing.LotNotItem:			That is not a valid house deed.

Scripts.Player.Housing.LotNotYours:			You do not own this lot!

Scripts.Player.Housing.LotOffer:			Do you wish to buy this lot? It costs {0}.

Scripts.Player.Housing.LotTargeted:			You target lot number {0}.

Scripts.Player.Housing.NotFloorObject:			This item cannot be placed on the floor!

Scripts.Player.Housing.NotHookPoint:			This item cannot be placed on a hookpoint!

Scripts.Player.Housing.NotWallObject:			This item cannot be placed on a wall!

Scripts.Player.Housing.OutdoorBannersAdded:		Your outdoor guild banners have been changed.	

Scripts.Player.Housing.OutdoorBannersRemoved:		Your outdoor guild banners have been removed.	

Scripts.Player.Housing.OutdoorShieldsAdded:		Your outdoor guild shields have been changed.	

Scripts.Player.Housing.OutdoorShieldsRemoved:		Your outdoor guild shields have been removed.	

Scripts.Player.Housing.PaidChanges:			You have paid {0} for your changes.

Scripts.Player.Housing.PaidNotEnough:			You do not have enough money to do that!

Scripts.Player.Housing.PorchAlready:			This house already has a porch!

Scripts.Player.Housing.PorchNone:			This house does not have a porch!

Scripts.Player.Housing.PorchNotItem:			This is not a porch item!

Scripts.Player.Housing.TransferToGuild:			Do you want to transfer this house to {0}?


