# Unknown
GamePlayer.RealmTitle.UnknownRealm:					Unknown Realm
GamePlayer.RealmTitle.Hibernia.RR4.Male:			Grove Protector
GamePlayer.RealmTitle.Hibernia.RR5.Male:			Raven Ardent
GamePlayer.RealmTitle.Hibernia.RR6.Male:			Silver Hand
GamePlayer.RealmTitle.Hibernia.RR7.Male:			Thunderer
GamePlayer.RealmTitle.Hibernia.RR8.Male:			Gilded Spear
GamePlayer.RealmTitle.Hibernia.RR9.Male:			Tiarna
GamePlayer.RealmTitle.Hibernia.RR10.Male:			Emerald Ridere
GamePlayer.RealmTitle.Hibernia.RR11.Male:			Barun
GamePlayer.RealmTitle.Hibernia.RR12.Male:			Ard Tiarna
GamePlayer.RealmTitle.Hibernia.RR13.Male:			Ciann Cath
GamePlayer.RealmTitle.Hibernia.RR14.Male:			Ard Diuc

# /Female
GamePlayer.RealmTitle.Hibernia.RR0.Female:			Defender
GamePlayer.RealmTitle.Hibernia.RR1.Female:			Savant
GamePlayer.RealmTitle.Hibernia.RR2.Female:			Cosantoir
GamePlayer.RealmTitle.Hibernia.RR3.Female:			Brehon
GamePlayer.RealmTitle.Hibernia.RR4.Female:			Grove Protector
GamePlayer.RealmTitle.Hibernia.RR5.Female:			Raven Ardent
GamePlayer.RealmTitle.Hibernia.RR6.Female:			Silver Hand
GamePlayer.RealmTitle.Hibernia.RR7.Female:			Thunderer
GamePlayer.RealmTitle.Hibernia.RR8.Female:			GildedSpear
GamePlayer.RealmTitle.Hibernia.RR9.Female:			Bantiarna
GamePlayer.RealmTitle.Hibernia.RR10.Female:			Emerald Ridere
GamePlayer.RealmTitle.Hibernia.RR11.Female:			Banbharun
GamePlayer.RealmTitle.Hibernia.RR12.Female:			Ard Bantiarna
GamePlayer.RealmTitle.Hibernia.RR13.Female:			Ciann Cath
GamePlayer.RealmTitle.Hibernia.RR14.Female:			Ard Bandiuc
