

# QUESTS

# /ImportantDelivery

Hib.ImportantDelivery.CheckPlayerAbortQuest.Abort:	Aborting Quest {0}. You can start over again if you want.
Hib.ImportantDelivery.TalkToAethic.Supplies:		Ah! The supplies I have been waiting for. Thank you {0}. These will help us tremendously in the coming weeks. I have another [errand] if you are up for it.

Hib.ImportantDelivery.TalkToAethic.Vegetables:		I need for you to deliver this crate of vegetables to Freagus in Ardee. I'm sure you can do the job. Take this horse ticket and give it to Stable Master Truichon. Hurry now, before the vegetables rot.

Hib.ImportantDelivery.TalkToFreagus.CaseReward:		reward

Hib.ImportantDelivery.TalkToFreagus.Errand:		Dont' go far friend. I have yet another errand that needs tending to.

Hib.ImportantDelivery.TalkToFreagus.GoodCrop:		Ah! These must be from Aethic in Tir na mBeo. I have been waiting a while for a good crop to come in. My family, horses and I will be eating well for a while. My thanks to you {0}. Here, let me see if I have a [reward] for your hard work.

Hib.ImportantDelivery.TalkToFreagus.Reward:		It's a little tattered, but it will keep you warm in the cold months. Thank you again {0}.

Hib.ImportantDelivery.TalkToFreagus.Welcome:		Welcome to my stable friend. What can I do for you today?


