# /Advice
Scripts.Players.Advice.Advice:				[Anfrage{0}] {1}: "{2}"
Scripts.Players.Battlegroup.Help.Invite:		/bg invite <Name> - Lädt einen Spieler in die Kampfgruppe ein. Ist dies eine öffentliche Kampfgruppe, kann der Befehl von jedem Kampfgruppenmitglied benutzt werden, ansonsten nur vom Kampfgruppenleiter.
Scripts.Players.Battlegroup.Help.JoinPrivate:		/bg join <Leitername> <Passwort> - Ihr tretet einer passwortgeschützten Kampfgruppe bei.	
Scripts.Players.Battlegroup.Help.JoinPublic:		/bg join <Leitername> - Ihr tretet einer öffentlichen Kampfgruppe bei.	
Scripts.Players.Battlegroup.Help.Leader:		/bg promote <name> - Übergibt die Leitung der Kampfgruppe an einen anderen Spieler. (Nur Leiter)
Scripts.Players.Battlegroup.Help.Leave:			/bg leave - Ihr verlasst die battlegruppe.
Scripts.Players.Battlegroup.Help.Listen:		/bg listen - Schaltet die Kampfgruppe auf "Nur lesen". Nur noch der Kampfgruppenleiter und die Moderatoren können etwas schreiben. (Nur Leiter)
Scripts.Players.Battlegroup.Help.Loot:			/bg loot <normal>/<treasurer> – Schaltet den Schatzmeister der Kampfgruppe ein (treasurer) oder aus (normal). (Nur Leiter) 			
Scripts.Players.Battlegroup.Help.LootLevel:		/bg lootlevel <level> -	Setzt das Level fest, ab dem ein Gegenstand an den Schatzhüter geht. (Nur Leiter)
Scripts.Players.Battlegroup.Help.PasswordClear:		/bg password clear - Löscht das aktuelle Passwort (Nur Leiter)	
Scripts.Players.Battlegroup.Help.PasswordDisplay:	/bg password - Zeigt das aktuelle Passwort (Nur dem Leiter)	
Scripts.Players.Battlegroup.Help.PasswordNew:		/bg password <Neues Passwort> - Setzt ein (neues) Passwort für die Kampfgruppe. (Nur Leiter)	
Scripts.Players.Battlegroup.Help.Private:		/bg private - Schaltet die Kampfgruppe auf Nicht-Öffentlich. Man muss das Passwort kenne oder von einem Leiter eingeladen werden um beizutreten. (Nur Leiter)
Scripts.Players.Battlegroup.Help.Public:		/bg public - Schaltet die Kampfgruppe "Öffentlich". Dann kann jeder mit "/cg join <Leitername>" der Kampfgruppe beitreten. Ausserdem ist sie dann unter "/who BG" finden. (Nur Leiter)
Scripts.Players.Battlegroup.Help.Remove:		/bg remove <Name> - Wirft einen Spieler aus der Kampfgruppe. (Nur Leiter)
Scripts.Players.Battelgroup.Help.Status:		/bg status - Zeigt Informationen wie den Leiter, die Moderatoren und Beuteverteilungseinstellungen an.
Scripts.Players.Battlegroup.Help.Treasurer:		/bg treasurer <name> – Setzt einen Spieler in der Kampfgruppe als Schatzhüter ein. Dieser Spieler erhält (wenn "/bg loot treasurer" an ist) alle Gegenstände, die ein höheres Level als mit "/bg lootlevel" festgelegt. Dies funktioniert nur in einer bestimmten Reichweite (4.000 Einheiten?) um den aufgehobenen Gegenstand und nicht über Ladezonen-Grenzen hinweg. (Nur Leiter) 			
Scripts.Players.Battlegroup.Help.Usage:			Befehle für "/bg" sind:
Scripts.Players.Battlegroup.Help.Who:			/bg who - Zeigt alle Mitglieder der Kampfgruppe.
Scripts.Players.Battlegroup.InBattleGroup:		Ihr seid zur Zeit in keiner Kampfgruppe!
Scripts.Players.Battlegroup.InviteYourself:		Ihr könnt Euch nicht selber einladen.	
Scripts.Players.Battlegroup.JoinBattleGroup:		Wollt Ihr der Kampfgruppe von {0} beitreten?	
Scripts.Players.Battlegroup.LeaderCommand:		Diesen Befehl kann nur der Leiter der Kampfgruppe geben.	
Scripts.Players.Battlegroup.LeaderInvite:		Ihr müsst der Leiter der Kampfgruppe sein, um einen Spieler einladen zukönnen.
Scripts.Players.Battlegroup.ListenMode:			Der "Nur Lesen"-Status der Kampfgruppe wurde geändert.
Scripts.Players.Battlegroup.Moderator:			{0} ist Moderator geworden.
Scripts.Players.Battlegroup.NoPlayer:			Ein Spieler mit diesem Namen ist zur Zeit nicht im Spiel oder gehört einem anderen Reich an.
Scripts.Players.Battlegroup.NotBattleGroupLeader:	Dieser Spieler ist kein Leiter einer Kampfgruppe.	
Scripts.Players.Battlegroup.NotBattleGroupMember:	Dieser Spieler gehört keiner Kampfgruppe an.	
Scripts.Players.Battlegroup.NotPublic:			Das ist keine öffentliche Kampfruppe.
Scripts.Players.Battlegroup.OnlyModerator:		Nur der Leiter oder ein Moderator kann in dieser Kampfgruppe sprechen.	
Scripts.Players.Battlegroup.OwnBattleGroup:		Eurer eigenen Kampfgruppe könnt Ihr nicht beitreten.
Scripts.Players.Battlegroup.Password:			Das Passwort der Kampfgruppe lautet: {0}.
Scripts.Players.Battlegroup.PasswordChanged:		Ihr habt das Passwort der Kampfgruppe geändert in: {0}.	
Scripts.Players.Battlegroup.PlayerInBattlegroup:	{0} ist bereits Mitglied einer Kampfgruppe.	
Scripts.Players.Battlegroup.Private:			Dies ist nun eine private Kampfgruppe.
Scripts.Players.Battlegroup.Public:			Dies ist nun eine öffentliche Kampfgruppe.
Scripts.Players.Battlegroup.Usage:			Verwendet: /bc <text>
Scripts.Players.Battlegroup.UsageInvite:		Verwendet: /bg invite <playername>

# /FreeLevel
PLCommands.FreeLevel.AboveMaximumLevel:			Eure Erfahrung ist zu groß für eine weitere freie Stufe.
PLCommands.FreeLevel.EligibleFreeLevel:			Ihr seid nun würdig, eine freie Stufe zu erhalten. Klickt auf Euren Ausbilder, um sie zu bekommen! (Der Befehl "/freelevel decline" entfernt diese freie Stufe.)
PLCommands.FreeLevel.FreeLevelIn:			Ihr habt eine neue Stufe erreicht und seid Eurer nächsten freien Stufe in {0} Tage, {1} Stunden und {2} Minuten  würdig.
PLCommands.FreeLevel.FreeLevelIn2:			Ihr müsst noch {0} Tage, {1} Stunden und {2} Minuten warten, bis der Zeitraum der nächsten freien Stufe beginnt.
PLCommands.FreeLevel.FreeLevelSoon:			Ihr braucht eine weitere Stufe, um der nächsten freien Stufe würdig zu sein.
PLCommands.FreeLevel.NoFreeLevel:			Ihr habt keine freie Stufe !
PLCommands.FreeLevel.Removed:				Diese freie Stufe wurde entfernt.

# /Realm
Scripts.Players.Realm.AlbKeeps:            	Albion Festungen
Scripts.Players.Realm.DarknessFalls:      	Darkness Falls
Scripts.Players.Realm.HibKeeps:           	Hibernia Festungen
Scripts.Players.Realm.MidKeeps:           	Midgard Festungen
Scripts.Players.Realm.Title:            	Reichsstatus
Scripts.Players.Realm.UseRelicCommand:      Gebt '/relic' für den Reliktstatus ein.

# /Relic
Scripts.Players.Relic.AlbRelics:         Albion Relikte
Scripts.Players.Relic.HibRelics:         Hibernia Relikte
Scripts.Players.Relic.MidRelics:         Midgard Relikte
Scripts.Players.Relic.Power:            Magie
Scripts.Players.Relic.Strength:            Stärke
Scripts.Players.Relic.Title:            Reliktstatus
Scripts.Players.Relic.UseRealmCommand:      Gebt '/realm' für den Reichsstatus ein.

# Boats
Scripts.Player.Boat.AlreadyOnBoat:			Dieser Spieler ist bereits in einem Boot!
Scripts.Player.Boat.BoardingDenied:			Eure Bitte an Bord des {0} kommen zu dürfen wurde abgelehnt.
Scripts.Player.Boat.BoardingGranted:			Eurer Bitte an Bord kommen zu dürfen wurde entsprochen.
Scripts.Player.Boat.BoardingRequest:			{0} würde gern an Bord Eures Schiffes komment. Wollt Ihr das zulassen?
Scripts.Player.Boat.BoatTooFar:				{0} ist zu weit entfernt um einsteigen zu können.
Scripts.Player.Boat.BootedBy:				{0} hat Euch von Bord geworfen.
Scripts.Player.Boat.BootedTarget:			Ihr habt {0} von Bord geworfen.
Scripts.Player.Boat.DeleteConfirmation:			Wollt Ihr Euer Boot {0} wirklich zerstören?
Scripts.Player.Boat.FullBoat:				Das Boot kann keine weiteren Passagiere aufnehmen.
Scripts.Player.Boat.Help.Board:				/boat board - An Bord des ausgewählten Bootes gehen.
Scripts.Player.Boat.Help.Boot:				/boat boot - Wirft den ausgewählten Spieler von Bord.
Scripts.Player.Boat.Help.Delete:			/boat delete - Zerstört das Boot, aber fragt zuvor um Eure Zustimmung.
Scripts.Player.Boat.Help.Follow:			/boat follow - Gibt Eurem Boot die Anweisung Eurem Ziel zu folgen.
Scripts.Player.Boat.Help.StopFollow:			/boat stopfollow - Gibt Eurem Boot die Anweisung nicht mehr Eurem Ziel zu folgen.
Scripts.Player.Boat.Help.Summon:			/boat summon - Ruft Euer Boot herbei.
Scripts.Player.Boat.Help.Unsummon:			/boat unsummon - Läßt Euer Boot im Rucksack verschwinden.
Scripts.Player.Boat.InviteNoSelf:			Ihr könnt Euch nicht selbst einladen!
Scripts.Player.Boat.InviteRecieved:			{0} hat Euch eingeladen an Bord zu kommen.
Scripts.Player.Boat.InviteSent:				Ihr habt {0} eingeladen an Bord zu kommen.
Scripts.Player.Boat.MoveFollow:				Euer Boot folgt nun {0}.
Scripts.Player.Boat.NoBoatSelected:			Ihr müßt erst ein Boot auswählen!
Scripts.Player.Boat.NoPlayerSelected:			Ihr müßt zunächst einen Spieler auswählen.
Scripts.Player.Boat.NotInWater:				Ihr müßt Euch ins Wasser begeben um Euer Boot benutzen zu können!
Scripts.Player.Boat.NotOwnBoat:				Ihr besitzt kein eigenes Boot.
Scripts.Player.Boat.OwnerNotOn:				Der Besitzer dieses Boots ist im Moment nicht online.
Scripts.Player.Boat.PlayerIsDead:			Ihr könnt nicht mit einem toten Spieler interagieren!
Scripts.Player.Boat.StopFollow:				Ihr bringt Euer Boot zum Anhalten.
Scripts.Player.Boat.Summoned:				Euer {0} ist nun fahrbereit.
Scripts.Player.Boat.TargetNotInBoat:			{0} befindet sich nicht an Bord.
Scripts.Player.Boat.UnknownCommand:			That is not a valid boat command. /boat for help. Das ist kein gültiger Befehl für Boote. Für Hilfe gebt /boat ein.
Scripts.Player.Boat.Unsummoned:				Euer {0} verschwindet in Eurem Rucksack.
Scripts.Player.Boat.Usage:				Verwendet:
Scripts.Player.Boat.YouBoard:				Ihr geht an Bord des {0}.

# /Boot
Scripts.Players.Boot.InHouseError:			Ihr müsst Euch in Eurem Haus befinden, um diesen Befehl verwenden zu können!
Scripts.Players.Boot.NoHouseError:			Ihr besitzt kein Haus!
Scripts.Players.Boot.NoOneOnline:			Niemand ist mit diesem Namen online den Ihr kicken könnt!
Scripts.Players.Boot.YouRemoved:			Ihr wurdet von {0} aus dem Haus geworfen!

# /Bountyrent
Scripts.Players.Bountyrent.InHouseError:		Ihr müsst Euch in Eurem Haus befinden, um diesen Befehl verwenden zu können!
Scripts.Players.Bountyrent.NoHouseError:		Ihr besitzt kein Haus!

# /Broadcast
Scripts.Players.Broadcast.Message:			[Broadcast] {0}: {1}
Scripts.Players.Broadcast.NoHere:			Ihr könnt hier keinen Rundspruch machen.
Scripts.Players.Broadcast.NoText:			Hmmm...Ihr solltet aufhören, dauernd mit Euch selbst zu reden.
Scripts.Players.Region.Message:				[Region] {0}: {1}
Scripts.Players.LFG.Message:				[LFG] {0}: {1}
Scripts.Players.Trade.Message:				[Trade] {0}: {1}

# /Cancelstyle
Scripts.Players.Cancelstyle.Set:			Kampfstil-Abbruch {0}geschaltet.
Scripts.Players.Cancelstyle.On:				an
Scripts.Players.Cancelstyle.Off:			aus

# /Chatgroup
Scripts.Players.Chatgroup.Help.Help:			/cg help - Zeigt die Hilfe zur Befehlsformulierung an
Scripts.Players.Chatgroup.Help.Invite:			/cg invite <Name> - Lädt einen Spieler in die Chatgruppe ein. Ist dies eine öffentliche Chatgruppe, kann der Befehl von jedem Chatgruppenmitglied benutzt werden, ansonsten nur vom Chatgruppenleiter.
Scripts.Players.Chatgroup.Help.JoinPrivate:		/cg join <Leitername> <Passwort> - Ihr tretet einer öffentlichen, passwortgeschützten Chatgruppe bei.
Scripts.Players.Chatgroup.Help.JoinPublic:		/cg join <Leitername> - Ihr tretet einer öffentlichen Chatgruppe bei.
Scripts.Players.Chatgroup.Help.Leader:			/cg leader <name> - Schaltet einen Spieler als Leiter der Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Leave:			/cg leave - Ihr verlasst die Chatgruppe.
Scripts.Players.Chatgroup.Help.Listen:			/cg listen - Schaltet die Chatgruppe auf "Nur lesen". Nur noch der Chatgruppenleiter und die Moderatoren können etwas schreiben. (Nur Leiter)
Scripts.Players.Chatgroup.Help.PasswordClear:		/cg password clear - Löscht das aktuelle Passwort (Nur Leiter)
Scripts.Players.Chatgroup.Help.PasswordDisplay:		/cg password - Zeigt das aktuelle Passwort (Nur dem Leiter)
Scripts.Players.Chatgroup.Help.PasswordNew:		/cg password <Neues Passwort> - Setz ein (neues) Passwort für die Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Private:			/cg private - Schaltet die Chatgruppe auf Nicht-Öffentlich. Man muss das Passwort oder von einem Leiter eingeladen werden um beizutreten. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Public:			/cg public - Schaltet die Chatgruppe "Öffentlich". Dann kann jeder mit "/cg join <Leitername>" der Chatgruppe beitreten. Ausserdem ist sie dann unter "/who CG" finden. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Remove:			/cg remove <Name> - Wirft einen Spieler aus der Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Usage:			Befehle für "/cg" sind:
Scripts.Players.Chatgroup.Help.Who:			/cg who - Zeigt alle Mitglieder der Chatgruppe.
Scripts.Players.Chatgroup.InChatGroup:			Ihr seid zur Zeit in keiner Chat-Gruppe!
Scripts.Players.Chatgroup.InviteYourself:		Ihr könnt Euch nicht selber einladen.	
Scripts.Players.Chatgroup.JoinChatGroup:		Wollt Ihr der Chat-Gruppe von {0} beitreten?	
Scripts.Players.Chatgroup.LeaderCommand:		Diesen Befehl kann nur der Leiter der Chat-Gruppe geben.	
Scripts.Players.Chatgroup.LeaderInvite:			Ihr müsst der Leiter der Chat-Gruppe sein, um einen Spieler einladen zukönnen.
Scripts.Players.Chatgroup.ListenMode:			Der "Nur Lesen"-Status der Chat-Gruppe wurde geändert auf 
Scripts.Players.Chatgroup.Moderator:			{0} ist Moderator geworden.
Scripts.Players.Chatgroup.NoPlayer:			Ein Spieler mit diesem Namen ist zur Zeit nicht im Spiel oder gehört einem anderen Reich an.
Scripts.Players.Chatgroup.NotChatGroupLeader:		Dieser Spieler ist kein Leiter einer Chat-Gruppe.	
Scripts.Players.Chatgroup.NotChatGroupMember:		Dieser Spieler gehört keiner Chat-Gruppe an.	
Scripts.Players.Chatgroup.NotPublic:			Das ist keine öffentliche Chat-Gruppe.
Scripts.Players.Chatgroup.OnlyModerator:		Nur der Leiter oder ein Moderator kann in dieser Chat-Gruppe sprechen.	
Scripts.Players.Chatgroup.OwnChatGroup:			Eurer eigenen Chat-Gruppe könnt Ihr nicht beitreten.
Scripts.Players.Chatgroup.Password:			Das Passwort der Chat-Gruppe lautet: {0}.
Scripts.Players.Chatgroup.PasswordChanged:		Ihr habt das Passwort der Chat-Gruppe geändert in: {0}.	
Scripts.Players.Chatgroup.PlayerInChatgroup:		{0} ist bereits Mitglied einer Chat-Gruppe.	
Scripts.Players.Chatgroup.Private:			Das ist nun eine private Chat-Gruppe.
Scripts.Players.Chatgroup.Public:			Das ist nun eine öffentliche Chat-Gruppe.
Scripts.Players.Chatgroup.Usage:			Verwendet: /c <text>
Scripts.Players.Chatgroup.UsageInvite:			Verwendet: /cg invite <playername>"

# /Cmdhelp
Scripts.Players.Cmdhelp.NoCommand:			Den Befehl {0} gibt es nicht.
Scripts.Players.Cmdhelp.PlvlCommands:			<---------Befehle für Berechtigungsstufe {0}--------->
Scripts.Players.Cmdhelp.Usage:				>-------Befehlsform für {0}-------<

# /Disband
Scripts.Players.Disband.Disbanded:			{o} wurde aus der Gruppe entlassen.
Scripts.Players.Disband.NoPlayer:			In der Gruppe gibt es keinen Spieler mit diesem Namen.
Scripts.Players.Disband.NotInGroup:			Ihr seid zur Zeit in keiner Gruppe.
Scripts.Players.Disband.NotLeader:			Ihr seit nicht der Leiter Eurer Gruppe.
Scripts.Players.Disband.NoYourself:			Auf diesem Wege könnt Ihr die Gruppe nicht verlassen.

# /Dismount
Scripts.Players.Dismount:				Ihr reitet doch garnicht!

# /Duel
Scripts.Players.Duel.ChallengesYou:			{0} fordert Euch zu einem Duell heraus! '/duel accept' lässt den Kampf beginnen, '/duel decline' lehnt die Herausforderung ab.
Scripts.Players.Duel.DuelOptions:			Es gibt folgende '/duel'-Optionen: 'challenge/decline/cancel/surrender/accept'
Scripts.Players.Duel.EnemyRealm:			Ihr könnt Euch nicht mit Spielern aus verfeindeten Reichen duellieren.
Scripts.Players.Duel.NeedTarget:			Ihr braucht schon einen Gegenspieler, den Ihr zum Duell fordern könnt!
Scripts.Players.Duel.ConsideringDuel:			Zur Zeit seid Ihr nicht zu einem Duell aufgefordert worden oder habt selbst jemanden aufgefordert.
Scripts.Players.Duel.NotInDuel:				Ihr befindet Euch zur Zeit in keinem Duell!
Scripts.Players.Duel.PlayerVsPlayer:			{0} ergibt sich {1}!
Scripts.Players.Duel.SafeZone:				Dies ist eine geschützte Zone in der Ihr Euch nicht duellieren könnt!
Scripts.Players.Duel.TargetAccept:			{0} hat die Duellforderung angenommen. Auf zum Kampf!
Scripts.Players.Duel.TargetAlreadyChallenging:		{0} hat bereits jemand anderes zum Duell gefordert.
Scripts.Players.Duel.TargetAlreadyConsidering:		{0} hat bereits eine andere Duellforderung zugesagt.
Scripts.Players.Duel.TargetCancel:			{0} hat seine Aufforderung zum Duell zurückgezogen.	
Scripts.Players.Duel.TargetDeclines:			{0} hat Euere Duellforderung abgelehnt.
Scripts.Players.Duel.TargetHealth:			Euer Duellgegner muss völlig gesund sein.
Scripts.Players.Duel.TargetInCombat:			{0} kämpft zur Zeit.
Scripts.Players.Duel.TargetInDuel:			{0} befindet sich bereits in einem Duell.
Scripts.Players.Duel.TargetInGroup:			{0} ist Mitglied einer Gruppe.
Scripts.Players.Duel.TargetSurrender:			{0} ergibt sich Euch!
Scripts.Players.Duel.YouAccept:				Ihr habt die Duellforderung angenommen. Auf zum Kampf!
Scripts.Players.Duel.YouAlreadyChallenging:		Ihr habt bereits {0} zu einem Duell herausgefordert. Zieht diese Forderung zuerst zurück, damit Ihr jemand anderes zum Duell auffordern könnt.
Scripts.Players.Duel.YouAlreadyConsidering:		Ihr habt bereits einem Duell mit {0} zugesagt. Zieht diese Zusage erst zurück, bevor Ihr jemand anderes herausfordert.
Scripts.Players.Duel.YouCancel:				Ihr habt Eure Duellforderung zurückgezogen.
Scripts.Players.Duel.YouChallenge:			Ihr fordert {0} zum Duell heraus!
Scripts.Players.Duel.YouDecline:			Ihr habt die Duellforderung von {0} abgelehnt.
Scripts.Players.Duel.YouHaventChallenged:		Ihr habt niemanden zu einem Duell herausgefordert.
Scripts.Players.Duel.YouHealth:				Ihr müsst erst völlig gesund sein.
Scripts.Players.Duel.YouInCombat:			Ihr befindet Euch in einem Kampf.
Scripts.Players.Duel.YouInDuel:				Ihr befindet Euch schon in einem Duell.
Scripts.Players.Duel.YouInGroup:			Ihr seit Mitglied einer Gruppe.
Scripts.Players.Duel.YouSurrender:			Ihr ergebt Euch {0}!

# /Guilds
Scripts.Player.Guild.AccountRemoved:			{0} hat {1} aus der Gilde entfernt.
Scripts.Player.Guild.ActiveBuff:			Eure Gilde verfügt bereits über einen Bonuszauber. Ihr müßt warten, bis dieser vorbei ist.
Scripts.Player.Guild.AllianceAlreadyOther:		Diese Gilde ist bereits in einer Allianz.
Scripts.Player.Guild.AllianceAnsCancel:			Das Angebot, der Allianz beizutreten wurde zurückgezogen.
Scripts.Player.Guild.AllianceDeclined:			Ihr lehnt es ab, der Allianz beizutreten.	
Scripts.Player.Guild.AllianceDeclinedOther:		Das Angebot, der Allianz beizutreten wurde abgelehnt.
Scripts.Player.Guild.AllianceDisabled:			Allianzen sind auf diesem Server nicht erlaubt.
Scripts.Player.Guild.AllianceIndexNotVal:		Die Allianz-ID ist ungültig.
Scripts.Player.Guild.AllianceInfo:			Allianz-Informationen für {0}:
Scripts.Player.Guild.AllianceInvite:			Ihr habt einer Gilde angeboten, Eurer Allianz beizutreten.
Scripts.Player.Guild.AllianceInvited:			Euch wurde angeboten, der Allianz von {0} beizutreten.
Scripts.Player.Guild.AllianceLeader:			Anführer der Allianz {0}	
Scripts.Player.Guild.AllianceMax:			Ihr könnt dieser Gilde nicht anbieten Eurer Allianz beizutreten, da bereits zuviele Gilden in Eurer Allianz sind.
Scripts.Player.Guild.AllianceMember:			{0} - {1}	
Scripts.Player.Guild.AllianceMembers:			Mitglieder der Allianz:	
Scripts.Player.Guild.AllianceMemNotSel:			Ihr müßt ein Mitglied derselben Allianz auswählen.
Scripts.Player.Guild.AllianceNoGMSelected:		Ihr müßt einen Anführer der Gilde auswählen.
Scripts.Player.Guild.AllianceNoLeader:			Kein Anführer der Allianz
Scripts.Player.Guild.AllianceNotLeader:			Ihr müßt der Anführer der Allianz sein, um eine Gilde aus der Allianz entfernen zu können.
Scripts.Player.Guild.AllianceNotMember:			Um das zu tun, müßtet Ihr erstmal in einer Allianz sein.
Scripts.Player.Guild.AlreadyInGuild:			{0} gehört bereits einer Gilde an.
Scripts.Player.Guild.AlreadyInGuild:			Die gehören bereits einer Gilde an.
Scripts.Player.Guild.AMotdSet:				Ihr habt die Willkommensnachricht für diese Gilde geändert.
Scripts.Player.Guild.BannerAlready:			Eure Gilde hat schon ein Banner.
Scripts.Player.Guild.BannerBought:			Ihr habt ein Gildenbanner für {0} Kopfgeldpunkte erworben.
Scripts.Player.Guild.BannerGroupSummoned:		Jemand aus Eurer Gruppe hat bereits das Gildenbanner gehisst.
Scripts.Player.Guild.BannerGuildSummoned:		Jemand aus Eurer Gilde hat bereits das Gildenbanner gehisst.	
Scripts.Player.Guild.BannerNoGroup:			Ihr müßt in einer Gruppe sein, um das Gildenbanner hissen zu können.
Scripts.Player.Guild.BannerNone:			Eure Gilde besitzt kein Gildenbanner.
Scripts.Player.Guild.BannerNotAfford:			Ihr benötigt 50.000 Kopfgeldpunkte, um ein Gildenbanner kaufen zu können.
Scripts.Player.Guild.BannerSummoned:			Ihr habt das Gildenbanner gehisst.
Scripts.Player.Guild.BannerUnsummoned:			Ihr habt das Gildenbanner eingeholt.	
Scripts.Player.Guild.BannerNotRvR:			You need to be in an RvR zone to summon a guild banner!
Scripts.Player.Guild.BuffActivated:			[Gildenbonuszauber] {0} hat 1000 Gildenverdienstpunkte ausgegeben, und einen Gildenbonuszauber aktiviert!
Scripts.Player.Guild.BuffBountyPoints:			Eure Gilde wird für die nächsten 24 Stunden einen 5% Bonus auf Kopfgeldpunkte erhalten!
Scripts.Player.Guild.BuffBPActivated:			[Gildenbonuszauber] Eure Gilde wird für die nächsten 24 Stunden einen Bonus auf Kopfgeldpunkte erhalten!	
Scripts.Player.Guild.BuffMPActivated:			[Gildenbonuszauber] Eure Gilde wird für die nächsten 24 Stunden einen Bonus auf Verdienstpunkte erhalten!	
