Mid.StolenEggs.CheckPlayerAbortQuest.Text1:	Good, no go out there and finish your work!
Mid.StolenEggs.TalkToDalikor.Whisper1:		explain
Mid.StolenEggs.TalkToDalikor.Whisper2:		missing
Mid.StolenEggs.TalkToDalikor.Whisper3:		panic
Mid.StolenEggs.TalkToDalikor.Whisper4:		cut
Mid.StolenEggs.TalkToDalikor.Whisper5:		Askefruer
Mid.StolenEggs.TalkToDalikor.Whisper6:		assist
Mid.StolenEggs.TalkToDalikor.Whisper7:		successful
Mid.StolenEggs.TalkToDalikor.Whisper8:		deserve
Mid.StolenEggs.TalkToDalikor.Whisper9:		abort
Mid.StolenEggs.TalkToGrifflet.Talk1:		The grifflet hums quitely.
Mid.StolenEggs.TalkToHyndla.Talk1:		Greetings to you Viking of Midgard. How may I be of service to you?
Mid.StolenEggs.TalkToHyndla.Talk2:		Dalikor must have sent you. Yes, I have recently heard of some suspicious activity north of Haggerfel. Passersby have reported seeing a pink colored creature with an egg of sorts. I have told Njiedi, but he is unable to leave his distraught [griffins].
Mid.StolenEggs.TalkToHyndla.Talk3:		The area location given to me was vague, but I can give you a general area. First travel towards Haggerfel. Once you reach it, head north-northeast on the road, past the two [tree stumps]. They will be on your right.
Mid.StolenEggs.TalkToHyndla.Talk4:		Just down the road, still heading north-northeast, you will see a group of four very tall pine trees. The pink creature was seen in that vicinity. I wish I could give you more, but that's all I have. Good luck in finding this thing, {0}.
Mid.StolenEggs.TalkToHyndla.Whisper1:		griffins
Mid.StolenEggs.TalkToHyndla.Whisper2:		tree stumps
Mid.StolenEggs.TalkToNjiedi.Talk1:		Oh thank you {0} for bringing back the grifflet. I know his parents will be relieved he's returned safe and sound. How did you manage to get him back? Did the Askefruer use anything? A chain? A bridle?
Mid.StolenEggs.TalkToNjiedi.Talk2:		I know this isn't much, but I used to do a bit of adventuring in my time. I'm sure you'll be able to use this. Now, I think you should return to Dalikor and let him know what's going on.
Mid.StolenEggs.TalkToNjiedi.Whisper1:		appreciation
